date,open,high,low,close,volume,average,barCount
2023-09-27,77.25,83.9,77.25,80.6,811959.0,80.124,2688
2023-09-28,81.5,87.5,81.01,84.65,844597.0,82.951,2504
2023-09-29,85.94,86.99,84.5,84.56,867789.0,85.379,4546
2023-10-02,83.11,89.0,81.53,85.12,11779388.0,85.474,40465
2023-10-03,82.65,83.25,76.01,77.05,10198651.0,78.328,37692
2023-10-04,76.67,80.62,76.35,77.8,7036735.0,78.146,25093
2023-10-05,76.3,76.99,72.65,74.45,13000604.0,74.069,49762
2023-10-06,73.04,78.47,73.04,77.98,6258187.0,75.959,32102
2023-10-09,76.75,78.0,73.73,74.61,5540032.0,75.859,32783
2023-10-10,73.96,75.51,72.5,75.0,4171561.0,74.488,21077
2023-10-11,74.44,76.56,73.61,74.47,3684053.0,74.799,18857
2023-10-12,73.75,75.3,72.75,74.23,3900933.0,73.968,14292
2023-10-13,73.63,73.99,70.47,71.85,4338969.0,71.755,20109
2023-10-16,71.62,74.84,71.62,74.21,3443021.0,73.845,17865
2023-10-17,73.13,75.13,73.01,74.48,1989690.0,74.054,11032
2023-10-18,73.5,73.94,72.27,72.45,2189622.0,73.037,11613
2023-10-19,71.82,72.74,69.95,70.29,2184015.0,71.174,10202
2023-10-20,70.4,70.78,68.9,69.93,2382767.0,69.673,10152
2023-10-23,69.3,72.47,67.65,71.9,3296971.0,70.734,14627
2023-10-24,72.29,73.71,71.79,72.01,2698401.0,72.374,12657
2023-10-25,71.3,72.34,69.78,70.79,2412130.0,70.866,12474
2023-10-26,66.33,72.23,65.51,70.0,2763767.0,70.373,12136
2023-10-27,68.64,69.44,67.75,67.99,2715926.0,68.309,14689
2023-10-30,68.47,69.33,67.42,68.36,2594334.0,68.217,16540
2023-10-31,68.92,69.73,67.65,69.0,2208071.0,68.534,12742
2023-11-01,68.16,69.19,67.47,67.51,1702893.0,68.233,10339
2023-11-02,68.0,70.54,66.69,70.28,1918729.0,69.217,10811
2023-11-03,70.47,71.09,69.06,70.8,1554699.0,70.558,8102
2023-11-06,70.05,70.07,68.08,68.26,1968531.0,69.075,9229
2023-11-07,67.75,70.25,67.36,70.07,1388272.0,69.331,7053
2023-11-08,69.8,70.32,69.55,69.8,1442672.0,69.868,6860
2023-11-09,69.09,70.32,69.09,69.63,1279263.0,69.838,6251
2023-11-10,69.31,70.78,69.14,70.55,1155469.0,70.241,4476
2023-11-13,70.28,73.2,70.18,72.98,2005798.0,72.614,11915
2023-11-14,73.85,74.1,73.01,73.63,2056624.0,73.561,11740
2023-11-15,73.47,74.64,73.01,73.91,2262440.0,74.001,10477
2023-11-16,72.74,73.06,70.58,70.88,1649546.0,71.131,9778
2023-11-17,70.9,71.37,70.06,70.99,922902.0,70.873,5427
2023-11-20,71.0,71.35,70.58,70.76,1100374.0,70.879,6617
2023-11-21,70.8,72.8,70.47,72.31,1124420.0,72.061,7472
2023-11-22,72.8,73.83,72.34,72.94,1131934.0,73.072,6775
2023-11-24,72.66,74.13,72.23,74.01,565173.0,73.772,3630
2023-11-27,73.82,73.99,73.0,73.5,942879.0,73.596,6272
2023-11-28,72.92,74.54,72.85,73.32,1192143.0,73.653,6155
2023-11-29,73.4,75.25,73.24,74.22,1775447.0,74.554,11890
2023-11-30,74.7,77.62,74.7,77.25,2288334.0,76.67,15159
2023-12-01,77.17,77.17,75.97,76.51,1206675.0,76.728,8140
2023-12-04,75.97,76.92,75.49,75.78,957097.0,75.953,6221
2023-12-05,75.4,76.14,75.21,75.55,733510.0,75.763,5235
2023-12-06,75.55,76.49,75.02,75.83,1318697.0,75.576,8944
2023-12-07,75.8,76.29,74.62,74.63,739922.0,75.329,5052
2023-12-08,74.6,75.65,74.27,75.43,440852.0,75.067,2906
2023-12-11,75.0,77.36,74.65,76.82,1009516.0,76.406,6007
2023-12-12,76.37,77.88,75.78,77.45,1023366.0,76.998,6814
2023-12-13,77.17,78.71,76.3,77.74,2750054.0,77.845,9936
2023-12-14,78.51,79.72,77.63,79.33,2069298.0,78.961,11936
2023-12-15,78.87,79.93,78.03,78.85,1609855.0,79.137,9228
2023-12-18,79.19,80.92,78.43,80.84,1123115.0,79.998,6237
2023-12-19,81.6,83.62,80.99,83.44,1805814.0,82.966,10743
2023-12-20,83.55,83.89,80.62,80.64,1016271.0,82.495,6690
2023-12-21,81.32,81.98,79.81,81.12,524276.0,80.659,3406
2023-12-22,80.64,81.79,80.03,81.64,370644.0,81.427,2557
2023-12-26,81.7,82.34,81.39,82.13,342475.0,81.929,2306
2023-12-27,82.14,83.5,81.98,83.22,559359.0,83.087,3854
2023-12-28,83.0,83.44,82.27,83.04,390483.0,83.0,2735
2023-12-29,82.84,83.36,81.86,82.26,328397.0,82.37,2171
2024-01-02,81.1,82.0,79.95,81.02,526789.0,80.813,3612
2024-01-03,80.6,80.9,77.75,78.05,592786.0,78.545,4279
2024-01-04,77.45,78.28,76.57,76.61,649499.0,77.243,4835
2024-01-05,76.61,77.64,76.25,76.9,1036971.0,76.945,7216
2024-01-08,76.47,77.84,76.47,77.51,828971.0,77.417,5184
2024-01-09,77.5,77.58,76.72,76.74,1311507.0,77.069,6644
2024-01-10,76.4,76.73,74.99,76.43,979677.0,75.925,5444
2024-01-11,76.4,76.59,74.96,76.08,527640.0,75.747,3317
2024-01-12,76.21,76.42,75.0,75.76,444431.0,75.883,2911
2024-01-16,74.36,75.28,73.91,74.55,640762.0,74.489,4385
2024-01-17,74.47,75.98,74.27,75.88,884683.0,75.409,5541
2024-01-18,75.84,76.58,75.03,76.01,674119.0,75.993,4944
2024-01-19,75.87,77.68,75.87,77.55,746833.0,77.123,4647
2024-01-22,77.66,79.76,77.5,79.69,799002.0,78.785,5408
2024-01-23,80.5,80.5,78.86,78.89,690088.0,79.182,4912
2024-01-24,79.5,79.5,76.22,76.26,685506.0,77.156,4945
2024-01-25,76.45,76.94,75.99,76.7,538168.0,76.568,4321
2024-01-26,77.07,78.1,76.44,76.99,462879.0,77.247,3298
2024-01-29,76.63,77.96,76.06,77.9,546753.0,77.226,3847
2024-01-30,77.74,78.37,76.82,78.33,697247.0,77.869,4465
2024-01-31,78.33,78.6,76.61,76.69,1556923.0,77.247,8336
2024-02-01,76.75,77.13,75.17,76.79,891189.0,76.521,4864
2024-02-02,76.69,77.13,75.34,76.84,578087.0,76.618,4015
2024-02-05,76.07,76.61,75.49,75.77,755467.0,75.913,4983
2024-02-06,75.21,77.72,75.05,77.62,921015.0,77.141,5312
2024-02-07,80.24,82.96,79.42,81.16,1516247.0,81.655,9795
2024-02-08,81.73,83.89,81.5,82.56,1328750.0,82.947,9111
2024-02-09,82.57,83.55,81.99,82.13,685915.0,82.725,4070
2024-02-12,82.53,83.79,82.04,83.5,949929.0,83.237,6518
2024-02-13,81.92,83.78,81.22,82.19,490142.0,82.367,3379
2024-02-14,83.04,84.46,82.9,84.22,839076.0,83.821,6001
2024-02-15,84.7,87.03,84.31,86.59,1100525.0,85.988,7182
2024-02-16,86.42,86.7,85.8,86.09,946436.0,86.148,3854
2024-02-20,85.15,86.14,85.01,85.77,804330.0,85.718,5310
2024-02-21,84.16,85.54,83.34,85.36,467419.0,85.093,3024
2024-02-22,86.04,86.59,85.7,85.94,614886.0,86.079,4262
2024-02-23,86.41,87.41,86.36,86.71,618170.0,86.772,4309
2024-02-26,86.78,87.44,86.16,86.31,399275.0,86.698,2834
2024-02-27,87.58,87.88,86.78,87.79,1309268.0,87.358,5409
2024-02-28,87.59,88.81,86.85,87.57,489791.0,87.713,3712
2024-02-29,87.9,87.9,86.01,86.42,863185.0,86.681,5348
2024-03-01,85.7,87.04,85.7,86.76,457683.0,86.641,3381
2024-03-04,87.23,88.45,86.89,87.74,873035.0,87.798,5811
2024-03-05,87.37,88.79,86.83,88.5,1089343.0,88.003,5999
2024-03-06,88.82,89.62,88.08,88.87,808298.0,89.141,4931
2024-03-07,89.27,90.55,89.19,89.32,510813.0,89.615,2404
2024-03-08,89.45,90.51,88.88,89.26,347328.0,89.432,2416
2024-03-11,88.87,89.17,87.33,88.76,536960.0,88.373,4006
2024-03-12,89.34,89.57,88.4,88.43,692332.0,88.795,4986
2024-03-13,88.4,89.61,87.89,89.1,594104.0,89.12,4367
2024-03-14,88.93,89.14,87.66,88.23,517351.0,88.448,3429
2024-03-15,87.01,88.27,85.9,86.5,1621296.0,87.159,8939
2024-03-18,87.46,87.69,86.71,87.03,1097031.0,87.187,7125
2024-03-19,87.32,87.73,87.0,87.44,671755.0,87.414,4454
2024-03-20,87.38,88.62,87.29,88.12,1075452.0,87.995,5960
2024-03-21,89.15,90.35,88.43,89.9,1007531.0,89.921,6425
2024-03-22,90.08,90.69,88.95,89.46,930386.0,89.535,5546
2024-03-25,89.3,90.0,88.9,89.4,816168.0,89.572,6136
2024-03-26,89.55,90.19,89.15,89.26,947586.0,89.634,4903
2024-03-27,89.55,90.63,88.74,89.74,723546.0,89.58,4708
2024-03-28,89.76,89.85,88.63,88.66,700866.0,89.09,4933
2024-04-01,88.59,88.66,87.31,87.54,748799.0,87.672,4640
2024-04-02,87.31,87.31,86.55,86.58,613684.0,86.85,4141
2024-04-03,86.45,87.79,85.91,87.25,1447445.0,86.81,8956
2024-04-04,88.12,88.12,86.6,86.69,656008.0,87.197,4747
2024-04-05,86.96,87.58,86.59,87.09,1427584.0,87.19,5535
2024-04-08,87.45,88.14,87.05,87.67,514888.0,87.665,2892
2024-04-09,88.01,89.68,87.58,89.2,769567.0,89.015,4884
