date,open,high,low,close,volume,average,barCount
2020-07-13,211.19,211.19,200.7,201.0,352956.0,205.876,2997
2020-07-14,199.22,200.95,196.34,198.65,614389.0,198.411,4642
2020-07-15,199.99,201.31,198.53,199.19,324821.0,199.753,2663
2020-07-16,198.0,198.96,197.48,198.39,457936.0,198.085,2821
2020-07-17,199.43,201.37,198.0,199.7,464992.0,200.045,3549
2020-07-20,200.0,208.63,199.45,207.66,431066.0,205.441,3501
2020-07-21,206.52,208.78,204.23,205.01,407963.0,206.08,3090
2020-07-22,206.19,207.25,204.69,205.81,303605.0,205.905,2491
2020-07-23,206.12,210.41,204.89,205.48,580502.0,207.06,4161
2020-07-24,207.1,213.0,204.57,208.53,758121.0,209.249,6177
2020-07-27,208.26,210.85,207.17,209.79,286597.0,209.147,2425
2020-07-28,209.47,210.4,206.19,206.42,231860.0,208.071,1852
2020-07-29,206.42,211.15,206.42,208.73,302136.0,209.295,2806
2020-07-30,205.35,208.99,204.45,208.48,267529.0,207.349,2315
2020-07-31,207.6,211.73,207.6,211.68,266136.0,209.839,2312
2020-08-03,211.63,213.51,211.14,212.05,185518.0,212.022,1593
2020-08-04,211.19,214.72,211.19,214.38,415404.0,213.442,2974
2020-08-05,215.0,215.75,211.14,212.16,238673.0,213.219,2046
2020-08-06,211.47,213.7,208.87,211.8,289274.0,210.61,2369
2020-08-07,211.31,212.19,208.82,210.4,168220.0,210.315,1335
2020-08-10,210.0,210.0,205.09,206.3,211256.0,206.734,1908
2020-08-11,206.83,206.86,201.51,201.8,255399.0,203.715,2329
2020-08-12,202.14,205.47,202.05,205.22,304961.0,204.627,2300
2020-08-13,205.22,211.73,205.22,210.3,344784.0,209.802,2853
2020-08-14,210.93,211.19,206.52,207.29,250422.0,208.065,2176
2020-08-17,207.82,209.14,206.36,206.75,223484.0,207.218,1948
2020-08-18,207.87,208.95,206.58,206.99,291688.0,207.623,2348
2020-08-19,207.47,207.98,205.66,206.15,368038.0,206.824,3287
2020-08-20,202.8,208.74,202.8,208.16,348913.0,207.119,2631
2020-08-21,207.37,207.55,205.35,206.73,477895.0,206.634,3748
2020-08-24,205.93,208.0,205.67,207.3,168994.0,206.787,1408
2020-08-25,205.89,207.99,205.42,205.7,261001.0,206.279,2211
2020-08-26,206.84,209.38,205.94,208.51,319103.0,207.991,2792
2020-08-27,209.97,209.97,207.13,207.87,176064.0,208.477,1599
2020-08-28,207.95,208.56,206.13,208.14,160016.0,207.496,1413
2020-08-31,208.79,215.72,208.79,214.8,436743.0,212.958,3759
2020-09-01,214.94,215.94,213.03,215.78,313337.0,214.599,2500
2020-09-02,217.0,220.51,217.0,219.7,379995.0,219.416,2813
2020-09-03,219.75,220.13,205.96,207.78,672339.0,209.614,4578
2020-09-04,207.48,209.18,200.73,203.54,464026.0,204.342,4093
2020-09-08,199.09,199.5,194.95,196.81,458977.0,196.96,3852
2020-09-09,199.23,201.69,195.65,200.33,268841.0,199.667,2401
2020-09-10,200.19,200.86,195.0,198.0,449252.0,197.44,3616
2020-09-11,198.0,200.75,195.1,198.13,332395.0,197.968,2711
2020-09-14,200.58,203.25,200.23,202.0,357049.0,202.215,2802
2020-09-15,203.62,204.99,201.9,204.33,570741.0,203.52,2861
2020-09-16,205.74,207.52,202.76,202.99,217484.0,204.891,1931
2020-09-17,199.19,203.55,198.47,203.49,366196.0,201.614,2800
2020-09-18,204.15,206.59,202.88,204.68,673901.0,204.779,4755
2020-09-21,202.24,203.86,200.01,202.89,307688.0,202.124,2604
2020-09-22,204.19,205.85,201.44,205.29,247816.0,203.615,2020
2020-09-23,205.33,206.26,199.47,200.14,389838.0,201.006,3021
2020-09-24,199.79,204.42,198.96,202.01,247594.0,201.631,1967
2020-09-25,202.67,206.53,200.56,205.58,173210.0,204.29,1590
2020-09-28,208.33,208.33,202.71,204.72,269643.0,204.513,2481
2020-09-29,200.63,206.2,200.63,204.91,255964.0,205.313,2261
2020-09-30,205.03,207.36,203.6,204.85,233252.0,205.607,2165
2020-10-01,206.52,208.19,205.92,207.22,156636.0,207.148,1386
2020-10-02,203.45,205.03,200.85,202.16,176189.0,202.738,1591
2020-10-05,202.42,204.05,201.05,203.45,205484.0,202.524,1401
2020-10-06,203.3,206.41,201.17,202.09,311898.0,203.645,2155
2020-10-07,202.28,204.65,201.23,203.82,173636.0,203.313,1484
2020-10-08,204.45,206.43,204.18,205.47,162280.0,205.254,1269
2020-10-09,206.84,210.07,206.72,209.56,205371.0,208.793,1828
2020-10-12,212.22,216.24,210.53,214.15,196606.0,214.082,1732
2020-10-13,214.88,218.02,214.08,216.0,224689.0,216.571,2007
2020-10-14,216.05,217.64,211.43,212.14,206730.0,213.958,1715
2020-10-15,209.47,210.69,206.36,208.6,191751.0,208.142,1741
2020-10-16,208.72,210.75,207.19,207.34,142794.0,208.408,1071
2020-10-19,206.96,208.61,202.53,203.17,173554.0,204.667,1456
2020-10-20,203.7,206.27,203.0,203.96,199348.0,204.467,1773
2020-10-21,204.46,206.76,203.75,205.56,264434.0,205.434,1777
2020-10-22,206.02,209.04,203.75,207.86,364890.0,206.641,2921
2020-10-23,203.71,203.77,197.12,200.8,1005241.0,199.326,7471
