date,open,high,low,close,volume,average,barCount
2020-07-13,18.96,19.49,18.85,19.11,1980782.0,19.183,12780
2020-07-14,19.02,19.38,18.94,19.19,1429674.0,19.181,9492
2020-07-15,19.39,19.57,19.17,19.3,1474919.0,19.316,9840
2020-07-16,19.21,19.62,19.18,19.4,1906466.0,19.46,11814
2020-07-17,19.41,19.7,19.4,19.62,772381.0,19.57,4731
2020-07-20,19.53,19.62,18.95,19.1,3757614.0,19.163,12436
2020-07-21,19.18,19.62,19.15,19.24,1751440.0,19.381,11796
2020-07-22,19.12,19.63,18.91,19.52,3308752.0,19.41,16543
2020-07-23,19.46,19.62,19.07,19.16,4647200.0,19.23,15891
2020-07-24,19.19,19.48,18.68,18.88,3162696.0,19.088,19152
2020-07-27,18.88,18.89,18.0,18.2,3514129.0,18.235,19389
2020-07-28,18.26,18.75,18.18,18.44,2464573.0,18.492,12613
2020-07-29,18.48,18.91,18.44,18.87,1722543.0,18.721,10796
2020-07-30,18.64,18.86,18.23,18.8,1192938.0,18.62,8626
2020-07-31,18.79,18.86,18.43,18.66,1461629.0,18.605,8829
2020-08-03,18.63,18.8,18.29,18.76,1790661.0,18.665,11018
2020-08-04,18.73,19.23,18.69,18.76,3502812.0,18.864,17454
2020-08-05,19.0,19.39,18.09,18.26,3709563.0,18.624,17327
2020-08-06,18.13,18.97,18.13,18.83,1975290.0,18.77,13282
2020-08-07,18.73,19.15,18.48,18.9,2453451.0,18.863,16352
2020-08-10,18.93,19.27,18.81,19.2,1374034.0,19.134,8323
2020-08-11,19.38,19.66,18.85,18.89,1537531.0,19.101,9295
2020-08-12,19.08,19.44,19.02,19.34,1634363.0,19.318,10883
2020-08-13,19.27,19.33,18.99,19.11,776758.0,19.15,5211
2020-08-14,18.93,19.2,18.8,19.05,921791.0,19.057,5778
2020-08-17,19.13,19.4,18.99,19.35,1385868.0,19.293,8664
2020-08-18,19.4,20.4,19.35,20.14,5612309.0,20.024,23755
2020-08-19,20.21,20.21,19.69,19.73,1904646.0,19.922,11370
2020-08-20,19.6,19.75,19.34,19.4,1563254.0,19.535,9661
2020-08-21,19.31,19.53,19.05,19.1,1691934.0,19.231,9731
2020-08-24,19.16,19.41,18.9,19.3,1165443.0,19.18,7272
2020-08-25,19.41,19.51,19.0,19.14,1202378.0,19.177,7015
2020-08-26,19.0,19.02,18.48,18.76,1591422.0,18.721,9320
2020-08-27,18.83,19.14,18.72,19.1,1937093.0,18.991,11684
2020-08-28,19.25,19.33,18.96,19.3,759141.0,19.206,4634
2020-08-31,19.34,19.48,19.19,19.23,1707716.0,19.334,9599
2020-09-01,19.11,19.11,18.68,18.76,1618439.0,18.83,8915
2020-09-02,18.79,19.44,18.51,19.29,1358513.0,19.177,8643
2020-09-03,19.26,19.52,18.66,18.75,1538011.0,19.012,9031
2020-09-04,18.77,18.9,18.02,18.23,1740052.0,18.316,10852
2020-09-08,18.23,18.4,17.75,17.85,2082674.0,18.038,13892
2020-09-09,18.08,18.62,18.06,18.42,1690518.0,18.408,9958
2020-09-10,18.38,18.42,18.08,18.09,1360563.0,18.258,8364
2020-09-11,18.42,18.51,17.92,18.51,2189018.0,18.26,11026
2020-09-14,18.51,18.88,18.25,18.87,2320280.0,18.69,12336
2020-09-15,18.76,18.76,18.36,18.42,3702784.0,18.557,17731
2020-09-16,18.32,18.83,18.3,18.61,2703034.0,18.621,13727
2020-09-17,18.47,18.5,18.11,18.28,3654834.0,18.319,19319
2020-09-18,18.25,18.5,18.01,18.11,2898670.0,18.216,13948
2020-09-21,17.81,18.1,17.67,17.89,2745815.0,17.912,15959
2020-09-22,18.08,18.19,17.68,17.82,2970573.0,17.882,18183
2020-09-23,17.89,18.14,17.82,17.96,2786077.0,18.001,15281
2020-09-24,17.95,18.11,17.64,17.99,2155073.0,17.898,14057
2020-09-25,17.9,18.11,17.76,18.01,1817174.0,17.997,10619
2020-09-28,18.16,18.21,17.93,17.97,1804139.0,18.023,10896
2020-09-29,18.15,18.86,18.15,18.53,6936884.0,18.589,37183
2020-09-30,18.67,18.98,18.33,18.86,6448432.0,18.796,31513
2020-10-01,18.94,18.96,17.85,17.89,4450873.0,18.214,23190
2020-10-02,17.44,18.04,17.21,17.99,3062360.0,17.71,18916
2020-10-05,18.04,18.22,17.79,17.81,3300053.0,17.945,16596
2020-10-06,17.85,18.22,17.74,17.95,5112522.0,17.958,25797
2020-10-07,18.0,18.04,17.76,17.83,3837624.0,17.852,19641
2020-10-08,17.94,18.31,17.9,18.28,4309370.0,18.152,16467
2020-10-09,18.36,18.43,17.99,17.99,2477901.0,18.098,13403
2020-10-12,17.94,18.18,17.78,18.0,2359625.0,18.033,12457
2020-10-13,17.9,18.15,17.69,18.03,4439835.0,17.991,14811
2020-10-14,18.1,19.02,18.07,18.76,3382352.0,18.797,18716
2020-10-15,18.55,19.07,18.44,18.75,1723550.0,18.798,11086
2020-10-16,18.79,19.27,18.65,19.02,1918918.0,19.052,10736
2020-10-19,19.09,19.13,18.81,18.81,1494239.0,18.929,8907
2020-10-20,18.95,19.2,18.79,18.95,1850763.0,19.027,11859
2020-10-21,18.77,19.15,18.71,18.94,1847376.0,18.993,11426
2020-10-22,18.99,19.2,18.65,19.06,1346955.0,18.966,7747
2020-10-23,19.22,19.37,19.02,19.28,1109884.0,19.214,7025
