date,open,high,low,close,volume,average,barCount
2020-07-13,54.75,54.77,54.14,54.45,9868046.0,54.491,50137
2020-07-14,54.43,55.65,54.27,55.44,11889440.0,55.255,60775
2020-07-15,55.61,55.72,55.02,55.06,10253998.0,55.342,51261
2020-07-16,54.87,55.83,54.76,55.78,10655095.0,55.457,48397
2020-07-17,56.0,56.6,55.89,56.3,10693362.0,56.288,51515
2020-07-20,56.28,56.28,55.65,55.87,8013993.0,55.91,39112
2020-07-21,55.84,56.5,55.79,55.84,8857006.0,56.131,47859
2020-07-22,55.84,55.95,55.37,55.75,8960299.0,55.647,39367
2020-07-23,55.81,56.09,55.4,55.85,13503322.0,55.787,57058
2020-07-24,56.35,57.57,56.14,56.85,14444383.0,56.744,69806
2020-07-27,57.0,57.33,56.51,56.87,9283454.0,56.877,47884
2020-07-28,57.05,57.7,56.97,57.48,9247351.0,57.446,49079
2020-07-29,57.37,57.69,57.16,57.45,7403017.0,57.404,41611
2020-07-30,57.21,57.46,57.14,57.3,9975259.0,57.284,51842
2020-07-31,56.87,57.5,56.65,57.48,10543677.0,56.974,53275
2020-08-03,57.87,57.87,57.12,57.24,10226321.0,57.358,53862
2020-08-04,57.2,58.14,57.18,57.91,9016736.0,57.796,47625
2020-08-05,58.16,58.19,57.4,57.54,7455646.0,57.653,37989
2020-08-06,57.5,57.95,57.45,57.83,7912056.0,57.709,40285
2020-08-07,57.82,58.55,57.65,58.53,8984506.0,58.2,45897
2020-08-10,58.65,59.15,58.46,58.99,8476381.0,58.913,45884
2020-08-11,59.3,59.61,58.25,58.51,10111068.0,58.857,51182
2020-08-12,58.6,58.97,58.52,58.6,7881265.0,58.681,44353
2020-08-13,58.3,58.6,58.19,58.52,5619762.0,58.409,31469
2020-08-14,58.48,58.94,58.25,58.79,5890536.0,58.726,33221
2020-08-17,58.73,58.93,58.54,58.78,6063599.0,58.774,30308
2020-08-18,58.86,59.47,58.78,59.18,7592499.0,59.193,39841
2020-08-19,59.36,59.44,58.93,59.05,7283878.0,59.154,38760
2020-08-20,58.6,59.09,58.59,58.96,6138516.0,58.942,32187
2020-08-21,59.0,59.04,58.53,58.99,7694581.0,58.84,38057
2020-08-24,59.1,59.61,59.0,59.57,7492972.0,59.387,34325
2020-08-25,59.7,59.75,59.18,59.42,9017206.0,59.424,45567
2020-08-26,59.3,59.5,58.9,59.46,11768748.0,59.303,44707
2020-08-27,59.6,59.79,59.41,59.43,8908690.0,59.563,42117
2020-08-28,59.41,59.41,58.82,59.26,9224896.0,59.123,38915
2020-08-31,59.04,59.44,59.02,59.27,10456921.0,59.261,41545
2020-09-01,59.12,59.3,58.78,59.16,10386985.0,59.036,47238
2020-09-02,59.15,60.74,59.0,60.53,17904676.0,60.28,82849
2020-09-03,60.83,61.28,60.14,60.61,19061295.0,60.675,90901
2020-09-04,60.48,61.5,60.06,60.48,16561378.0,60.708,95987
2020-09-08,60.8,60.8,59.62,59.96,13978273.0,59.972,77090
2020-09-09,60.12,60.75,59.97,60.04,10886526.0,60.379,55469
2020-09-10,60.23,60.25,59.41,59.53,12688373.0,59.746,69959
2020-09-11,59.58,59.96,59.36,59.79,9435513.0,59.656,51070
2020-09-14,60.02,60.78,60.0,60.32,9091056.0,60.501,45078
2020-09-15,60.11,61.1,60.1,60.6,7166939.0,60.754,37843
2020-09-16,60.53,60.93,60.31,60.37,8283036.0,60.599,45169
2020-09-17,60.6,60.99,60.1,60.59,10515186.0,60.624,53077
2020-09-18,60.18,60.94,60.15,60.35,11561141.0,60.424,53027
2020-09-21,60.0,60.08,59.02,59.61,10886821.0,59.4,58783
2020-09-22,59.73,60.37,59.51,59.82,6964463.0,59.857,39728
2020-09-23,59.83,60.14,58.85,58.91,11538852.0,59.301,59575
2020-09-24,59.0,59.56,58.65,59.19,8395898.0,59.049,47280
2020-09-25,58.85,59.45,58.81,59.39,7643496.0,59.102,41370
2020-09-28,59.56,59.8,59.18,59.36,8684712.0,59.504,44002
2020-09-29,59.28,59.49,59.1,59.24,7722882.0,59.318,35763
2020-09-30,59.46,59.71,59.04,59.49,8882750.0,59.398,43845
2020-10-01,59.4,59.6,59.03,59.45,9730076.0,59.372,47586
2020-10-02,59.29,59.55,59.11,59.24,7986508.0,59.34,43444
2020-10-05,59.63,59.84,59.26,59.66,7288245.0,59.575,35047
2020-10-06,59.76,59.97,59.33,59.46,9457361.0,59.655,46790
2020-10-07,59.62,59.78,59.2,59.61,9524438.0,59.488,43408
2020-10-08,59.12,59.73,58.97,59.19,11154859.0,59.166,52272
2020-10-09,59.25,59.54,59.08,59.33,7139673.0,59.298,34335
2020-10-12,59.33,59.68,59.15,59.55,10976738.0,59.497,46890
2020-10-13,59.7,59.72,58.85,59.36,18650198.0,59.307,81457
2020-10-14,59.46,59.52,58.39,58.43,13855131.0,58.724,60739
2020-10-15,58.11,58.28,57.72,58.16,10087079.0,57.96,48912
2020-10-16,58.1,58.43,58.01,58.05,10010439.0,58.173,39204
2020-10-19,58.15,58.29,57.08,57.3,11320006.0,57.613,53119
2020-10-20,57.54,57.67,56.76,57.25,12881962.0,57.2,65658
2020-10-21,57.11,57.71,56.69,56.75,15904754.0,57.095,80272
2020-10-22,56.93,57.66,56.51,57.33,13024768.0,57.312,61099
2020-10-23,57.75,57.97,57.46,57.96,9765436.0,57.707,47828
2020-10-26,57.52,57.85,56.97,57.81,12458374.0,57.466,60428
2020-10-27,57.7,57.86,57.31,57.38,8649776.0,57.581,42294
2020-10-28,56.92,57.35,56.12,56.31,14229626.0,56.575,67756
2020-10-29,56.16,57.31,56.02,56.76,15778076.0,56.625,79988
2020-10-30,56.6,57.07,56.37,56.99,13048940.0,56.722,67998
2020-11-02,57.67,58.21,57.0,57.7,12023116.0,57.687,62409
2020-11-03,57.81,58.38,57.51,57.75,8176052.0,57.91,44691
2020-11-04,57.19,57.85,56.58,57.22,15479626.0,57.393,75191
2020-11-05,58.01,58.97,57.8,58.15,15900942.0,58.453,72597
2020-11-06,58.08,58.75,58.01,58.53,8429560.0,58.406,45289
2020-11-09,60.04,60.58,59.51,59.84,19010860.0,60.067,102552
2020-11-10,60.28,61.41,60.2,61.1,16673415.0,60.981,85737
2020-11-11,61.29,61.35,60.47,61.0,9812853.0,60.912,49633
2020-11-12,60.91,61.01,60.34,60.79,10638077.0,60.577,50191
2020-11-13,60.63,61.19,60.38,61.06,7921727.0,60.817,42730
2020-11-16,60.81,61.46,60.69,60.89,10685715.0,60.954,51492
2020-11-17,60.56,61.02,60.36,60.75,8827177.0,60.758,41102
2020-11-18,61.13,61.15,60.3,60.32,8432216.0,60.666,37869
2020-11-19,60.4,60.44,59.9,60.21,8850141.0,60.125,46922
2020-11-20,60.21,60.33,59.94,60.04,10023599.0,60.09,41855
2020-11-23,60.01,60.39,60.0,60.23,8507259.0,60.198,42376
2020-11-24,60.6,60.8,60.36,60.64,11641558.0,60.58,60362
2020-11-25,60.67,60.74,60.33,60.41,8167650.0,60.462,39372
2020-11-27,60.52,60.74,60.41,60.58,4327005.0,60.559,22324
2020-11-30,60.32,60.6,60.18,60.41,10042088.0,60.361,49341
2020-12-01,60.51,60.92,60.28,60.58,9400809.0,60.58,48975
2020-12-02,61.4,61.95,61.01,61.36,10122620.0,61.332,48887
2020-12-03,61.11,61.83,61.04,61.74,8205474.0,61.41,41773
2020-12-04,61.5,61.8,61.26,61.55,7919993.0,61.5,41723
2020-12-07,61.55,61.68,61.17,61.35,8008883.0,61.317,43209
2020-12-08,61.18,61.7,60.87,61.45,10022317.0,61.298,50903
2020-12-09,61.45,61.82,61.09,61.46,10480861.0,61.383,56993
2020-12-10,61.25,61.36,60.33,60.51,11958354.0,60.651,62790
2020-12-11,60.08,60.53,59.97,60.35,10235597.0,60.214,54117
2020-12-14,60.61,61.06,59.77,59.98,10140298.0,60.348,52946
2020-12-15,60.07,60.74,59.97,60.55,11397262.0,60.4,61905
2020-12-16,60.2,60.45,59.66,59.91,11433054.0,60.01,56366
2020-12-17,59.98,60.15,59.61,60.01,8588241.0,59.941,45325
2020-12-18,60.0,60.78,59.79,60.46,14254079.0,60.213,58734
2020-12-21,60.06,60.13,59.28,59.49,13098662.0,59.564,65586
2020-12-22,59.37,59.42,58.86,58.99,10022052.0,59.103,51919
2020-12-23,59.2,59.28,58.88,58.96,11262809.0,59.048,53786
2020-12-24,59.0,59.07,58.66,58.84,6582484.0,58.844,32197
2020-12-28,59.16,59.18,58.65,58.98,12823284.0,58.905,56344
2020-12-29,59.03,59.24,58.64,58.81,12889633.0,58.873,61511
2020-12-30,58.86,58.94,58.06,58.14,15217892.0,58.282,64564
2020-12-31,58.06,58.8,58.02,58.75,9333660.0,58.317,43254
2021-01-04,59.0,59.15,58.44,58.85,13059916.0,58.718,60964
2021-01-05,58.88,59.09,58.45,58.58,11384990.0,58.704,53727
2021-01-06,58.81,59.54,58.54,59.29,13957975.0,59.063,67160
2021-01-07,58.32,58.76,58.08,58.53,15478923.0,58.49,72321
2021-01-08,58.23,58.36,57.37,57.8,22590041.0,57.685,93934
2021-01-11,57.75,58.05,57.28,57.46,12205566.0,57.488,55322
2021-01-12,57.27,57.45,56.69,57.26,17683180.0,56.991,77074
2021-01-13,57.22,57.25,56.87,57.06,13702660.0,57.025,60590
2021-01-14,56.89,57.43,56.66,57.04,14213167.0,57.016,66593
2021-01-15,56.79,57.5,56.71,57.38,12162063.0,57.141,50902
2021-01-19,57.44,57.58,56.98,57.05,12044753.0,57.131,53254
2021-01-20,57.01,57.39,56.66,57.26,14215433.0,57.01,65629
2021-01-21,57.19,57.51,57.05,57.27,10512550.0,57.283,49571
2021-01-22,57.17,57.69,56.76,57.47,12499424.0,57.358,59050
2021-01-25,57.47,58.62,57.18,58.42,17527686.0,58.189,93314
