date,open,high,low,close,volume,average,barCount
2020-07-13,58.19,59.44,57.29,58.43,707344.0,58.527,5656
2020-07-14,58.22,59.49,57.41,59.44,787214.0,59.064,5638
2020-07-15,60.74,62.23,60.74,61.66,735549.0,61.704,5049
2020-07-16,61.27,62.38,61.01,61.46,621590.0,61.617,4802
2020-07-17,61.68,61.82,60.58,60.79,522372.0,60.998,3555
2020-07-20,60.33,61.04,59.26,59.41,569507.0,59.633,4614
2020-07-21,59.76,61.61,59.76,60.8,532342.0,60.957,4119
2020-07-22,60.25,61.76,60.24,61.61,889448.0,61.262,5708
2020-07-23,61.23,61.95,60.31,61.75,666857.0,61.345,4129
2020-07-24,61.67,62.55,61.59,61.87,728568.0,61.987,5439
2020-07-27,61.84,62.84,61.54,62.01,784801.0,62.197,5702
2020-07-28,63.15,66.96,63.0,64.24,2088152.0,65.237,14015
2020-07-29,64.47,65.65,63.64,65.28,616976.0,64.723,5080
2020-07-30,63.84,64.17,62.83,63.09,689643.0,63.325,5343
2020-07-31,62.79,62.79,61.24,62.19,695948.0,61.958,5262
2020-08-03,62.43,62.43,61.29,61.47,845056.0,61.708,6238
2020-08-04,61.32,62.11,61.32,61.7,757533.0,61.699,5520
2020-08-05,62.28,63.47,62.08,62.91,929020.0,62.858,7268
2020-08-06,62.85,64.58,62.69,64.57,715189.0,63.862,5087
2020-08-07,64.39,67.24,64.33,67.23,680659.0,66.063,5196
2020-08-10,67.65,70.43,67.3,70.25,1509261.0,69.736,10260
2020-08-11,71.36,72.87,70.26,70.58,1252182.0,71.44,8929
2020-08-12,71.28,71.38,69.15,69.93,808915.0,69.991,6132
2020-08-13,69.05,69.77,68.39,69.0,655476.0,69.128,3747
2020-08-14,68.42,70.23,68.18,69.52,337511.0,69.677,2408
2020-08-17,69.66,69.83,67.9,68.44,520676.0,68.544,4154
2020-08-18,68.42,68.56,66.4,66.58,967803.0,67.205,5656
2020-08-19,66.74,67.27,65.93,66.04,546152.0,66.569,4187
2020-08-20,65.4,65.85,64.92,65.32,519404.0,65.467,3907
2020-08-21,65.01,65.95,64.76,64.79,534037.0,65.111,3772
2020-08-24,65.06,66.5,64.64,65.91,752781.0,65.859,4955
2020-08-25,66.49,67.15,64.93,65.64,1268481.0,65.707,8318
2020-08-26,65.78,67.82,65.51,66.76,822925.0,67.094,6352
2020-08-27,66.87,67.5,66.16,66.23,477011.0,66.487,2987
2020-08-28,66.43,67.39,66.17,67.09,350085.0,66.817,2589
2020-08-31,67.08,67.15,66.15,66.55,680103.0,66.664,5319
2020-09-01,66.67,69.09,66.06,68.91,931608.0,68.306,6863
2020-09-02,69.15,69.74,68.26,69.26,681903.0,69.061,4788
2020-09-03,69.55,70.44,67.32,67.96,625869.0,68.098,4614
2020-09-04,69.13,69.74,67.84,69.04,840527.0,68.896,6110
2020-09-08,68.1,68.94,67.2,67.64,562139.0,68.059,4279
2020-09-09,68.05,68.99,67.39,68.39,485457.0,68.386,4125
2020-09-10,68.63,68.97,67.09,67.28,470851.0,67.745,3691
2020-09-11,67.46,68.26,67.0,67.5,310884.0,67.578,2510
2020-09-14,67.92,68.36,67.05,68.0,1262157.0,67.616,6886
2020-09-15,68.19,68.63,66.78,66.82,438199.0,67.242,3437
2020-09-16,67.34,68.77,66.53,67.99,746157.0,67.849,5544
2020-09-17,67.76,68.9,66.65,68.82,536023.0,68.432,3857
2020-09-18,68.19,69.56,67.71,67.82,916859.0,68.387,3573
2020-09-21,65.96,66.37,62.41,62.97,1552883.0,63.478,11484
2020-09-22,62.55,63.3,61.27,62.19,968662.0,62.165,6428
2020-09-23,62.39,62.73,60.13,60.34,1098663.0,61.512,7585
2020-09-24,60.14,61.44,59.28,60.37,584852.0,60.369,4317
2020-09-25,59.51,61.03,59.51,60.63,396680.0,60.388,2838
2020-09-28,61.89,63.54,61.8,62.96,464221.0,62.988,3634
2020-09-29,62.72,63.12,61.79,62.47,335835.0,62.53,2597
2020-09-30,62.86,63.77,61.5,61.88,637995.0,62.528,4669
2020-10-01,61.98,62.55,60.22,60.73,1034781.0,61.003,7326
2020-10-02,59.52,63.38,59.33,62.72,488245.0,62.226,3848
2020-10-05,63.43,64.57,63.34,64.43,418141.0,64.227,2964
2020-10-06,65.0,66.05,63.63,63.73,600729.0,65.027,3857
2020-10-07,64.31,65.27,63.9,64.62,422573.0,64.594,3165
2020-10-08,65.06,65.37,63.74,64.84,450243.0,64.4,3479
2020-10-09,65.58,65.77,63.87,64.51,629551.0,64.56,4176
2020-10-12,64.78,64.98,62.91,62.96,936861.0,63.511,6775
2020-10-13,62.86,64.47,62.63,63.98,1003298.0,63.78,6996
2020-10-14,64.16,65.04,64.12,64.26,449095.0,64.604,3193
2020-10-15,63.25,63.95,62.64,63.51,588475.0,63.312,4466
2020-10-16,63.76,64.31,63.23,63.33,364100.0,63.746,2328
2020-10-19,63.44,63.99,61.96,62.1,524645.0,62.726,3352
2020-10-20,62.79,64.19,62.28,63.16,563488.0,63.288,4292
2020-10-21,62.98,63.8,62.08,62.1,558026.0,62.807,3633
2020-10-22,62.4,62.63,61.75,62.42,772102.0,62.272,5695
2020-10-23,63.09,63.45,61.97,62.06,432924.0,62.579,3376
2020-10-26,61.19,61.3,59.09,60.27,603249.0,59.912,5104
2020-10-27,60.01,60.15,58.51,58.61,587990.0,58.909,4457
2020-10-28,57.0,57.79,55.83,56.17,2205390.0,56.546,11255
2020-10-29,59.4,59.6,56.17,58.75,2696236.0,58.621,15043
2020-10-30,58.62,60.0,58.0,59.3,1341866.0,59.324,8732
2020-11-02,60.45,62.03,59.89,61.68,1311516.0,61.281,8328
2020-11-03,62.71,66.23,62.29,65.62,1338128.0,64.924,8029
2020-11-04,64.8,64.85,61.71,61.71,1681070.0,63.275,10623
2020-11-05,62.55,63.95,62.2,62.4,1361238.0,63.051,9586
2020-11-06,62.23,62.59,60.95,61.13,1811315.0,61.518,10699
2020-11-09,66.54,76.11,64.87,68.61,4036430.0,69.012,24136
2020-11-10,68.93,69.69,67.98,69.01,2671727.0,68.973,14002
2020-11-11,69.54,69.54,67.17,68.11,661185.0,68.075,5243
2020-11-12,67.27,68.47,67.01,67.93,962192.0,67.826,7498
2020-11-13,68.86,70.09,68.53,69.59,1544545.0,69.463,7889
2020-11-16,72.5,72.9,70.89,71.57,1722030.0,71.905,9780
2020-11-17,70.44,71.8,69.94,71.39,968914.0,71.148,5319
2020-11-18,71.69,73.29,71.27,72.63,1211743.0,72.724,7585
2020-11-19,71.97,72.56,71.16,72.35,658299.0,72.013,5082
2020-11-20,71.9,72.28,70.4,70.98,628390.0,70.907,4585
2020-11-23,71.36,73.56,71.29,73.55,519775.0,72.909,3566
2020-11-24,74.57,77.22,74.21,76.21,1718117.0,76.289,8936
2020-11-25,75.51,75.61,73.93,74.09,425975.0,74.454,3377
2020-11-27,73.86,74.43,73.25,73.82,431705.0,73.934,3197
2020-11-30,73.24,73.63,72.39,73.3,733704.0,73.135,4692
2020-12-01,74.66,74.84,72.2,72.3,1059538.0,73.265,5910
2020-12-02,72.0,72.78,71.74,72.58,466834.0,72.38,3243
2020-12-03,72.97,73.53,72.52,73.13,474698.0,73.108,3176
2020-12-04,73.85,75.63,73.85,75.53,665902.0,75.218,4990
2020-12-07,75.34,75.88,74.7,75.68,950258.0,75.367,7007
2020-12-08,75.56,76.87,75.47,76.51,838878.0,76.247,5586
2020-12-09,76.55,77.17,75.67,76.5,686155.0,76.486,4426
2020-12-10,75.82,76.5,75.21,75.4,580846.0,75.551,4008
2020-12-11,75.0,75.49,74.36,74.85,395695.0,74.897,2966
2020-12-14,75.48,76.0,73.21,73.26,756920.0,74.219,4665
2020-12-15,74.15,74.99,73.8,74.69,903933.0,74.587,5903
2020-12-16,74.74,74.8,73.19,73.65,572458.0,73.787,3904
2020-12-17,74.38,74.39,72.74,73.53,739699.0,73.278,4645
2020-12-18,73.5,73.82,72.51,73.44,786689.0,73.372,4576
2020-12-21,71.74,73.19,71.56,73.0,481961.0,72.647,3557
2020-12-22,73.0,73.2,71.87,72.21,406090.0,72.515,2620
2020-12-23,72.49,73.23,71.47,72.86,674962.0,72.657,4175
2020-12-24,73.3,73.42,72.13,73.31,139114.0,72.902,983
2020-12-28,73.73,74.0,72.52,72.59,404087.0,72.996,1971
2020-12-29,73.03,73.16,71.25,72.17,594893.0,72.034,3530
2020-12-30,72.55,73.07,72.06,72.4,420254.0,72.544,2607
2020-12-31,72.71,73.45,71.99,73.2,385267.0,72.958,2878
2021-01-04,73.54,74.22,72.34,72.65,977037.0,73.044,6424
2021-01-05,72.37,74.68,72.23,73.56,792950.0,73.672,5522
2021-01-06,74.88,79.79,74.7,79.15,1568298.0,78.278,8894
2021-01-07,79.19,82.25,79.15,81.94,1097967.0,81.077,7336
2021-01-08,82.11,82.72,80.57,81.23,882371.0,81.422,6251
2021-01-11,80.59,81.93,80.23,81.67,661075.0,81.424,4869
2021-01-12,82.04,84.31,81.34,83.58,965015.0,83.414,5714
2021-01-13,83.58,84.32,82.19,82.7,849491.0,82.988,5750
2021-01-14,83.12,83.9,82.5,83.7,690091.0,83.432,2807
2021-01-15,83.29,83.29,80.48,81.9,592073.0,81.746,3674
2021-01-19,82.68,83.6,81.62,81.63,708115.0,82.235,4833
2021-01-20,82.12,82.2,80.98,81.28,436395.0,81.372,3635
2021-01-21,80.8,81.71,80.41,80.86,460445.0,80.966,3411
2021-01-22,80.34,80.79,79.51,80.47,389009.0,80.376,2895
2021-01-25,80.07,80.64,78.9,79.13,773342.0,79.481,5851
2021-01-26,79.99,80.1,76.64,76.81,703642.0,77.433,5114
2021-01-27,75.43,75.98,73.44,74.57,831296.0,74.751,6279
2021-01-28,75.37,76.36,74.34,74.86,725563.0,75.341,5801
2021-01-29,74.75,75.51,73.41,74.21,636252.0,74.428,4447
2021-02-01,75.28,76.5,74.78,76.27,525833.0,75.842,3808
2021-02-02,76.92,79.16,76.75,78.26,613678.0,78.36,4616
2021-02-03,77.9,79.48,77.44,79.07,402631.0,78.847,2771
2021-02-04,79.44,81.1,79.27,80.47,696319.0,80.533,4711
