date,open,high,low,close,volume,average,barCount
2020-07-13,40.2,40.36,39.44,39.58,7454694.0,39.843,41661
2020-07-14,39.43,40.2,38.91,40.11,4376696.0,39.697,26313
2020-07-15,40.45,40.97,39.93,40.68,4738972.0,40.554,27835
2020-07-16,40.53,41.69,40.38,41.35,3205229.0,41.238,19335
2020-07-17,41.43,41.89,41.31,41.42,2555096.0,41.523,14789
2020-07-20,41.16,41.19,40.22,40.46,2936187.0,40.513,16291
2020-07-21,40.49,41.51,40.25,40.41,4655722.0,40.675,26831
2020-07-22,40.42,40.72,40.0,40.69,3388289.0,40.407,18935
2020-07-23,40.88,40.98,40.02,40.34,3516301.0,40.435,20663
2020-07-24,40.37,41.29,40.3,40.51,3079318.0,40.68,17296
2020-07-27,40.49,40.95,39.22,39.84,6537026.0,39.707,31679
2020-07-28,39.93,41.01,39.84,40.68,4454301.0,40.607,23080
2020-07-29,40.83,41.26,40.11,41.16,3727492.0,40.709,21257
2020-07-30,40.56,40.85,39.99,40.64,3533920.0,40.495,21518
2020-07-31,40.27,40.89,40.08,40.71,4647926.0,40.449,28420
2020-08-03,40.57,41.18,39.95,41.08,3713922.0,40.581,19496
2020-08-04,40.84,41.07,40.48,40.93,4667187.0,40.768,23483
2020-08-05,40.83,41.4,40.58,40.81,4608704.0,40.953,20354
2020-08-06,40.83,41.49,40.65,40.89,3309913.0,40.926,16488
2020-08-07,40.67,41.61,40.52,41.52,3263775.0,41.248,18873
2020-08-10,41.63,42.9,41.52,42.86,3542078.0,42.505,21378
2020-08-11,43.38,44.05,41.71,41.85,4879533.0,42.582,29883
2020-08-12,42.28,42.64,41.57,41.82,3101564.0,41.972,20538
2020-08-13,41.33,41.61,40.82,41.0,4357104.0,41.086,24655
2020-08-14,40.83,41.95,40.78,41.91,4233258.0,41.572,21412
2020-08-17,41.93,41.97,40.81,41.18,4072968.0,41.159,21253
2020-08-18,40.66,41.54,40.44,40.76,3721156.0,41.053,18005
2020-08-19,40.71,40.89,40.13,40.25,3789546.0,40.347,20216
2020-08-20,40.02,40.14,39.61,39.71,2545780.0,39.776,13032
2020-08-21,39.46,39.92,39.3,39.46,3519500.0,39.571,16676
2020-08-24,39.62,40.19,38.99,39.74,4406031.0,39.605,24709
2020-08-25,39.96,40.1,39.13,39.5,3963072.0,39.417,20397
2020-08-26,39.18,39.38,38.36,38.67,6020277.0,38.638,30442
2020-08-27,38.65,39.45,38.46,39.34,4638477.0,38.992,24019
2020-08-28,39.36,39.4,38.63,38.76,4363355.0,38.857,23127
2020-08-31,38.61,38.72,38.0,38.02,5665477.0,38.175,30389
2020-09-01,37.91,37.96,36.5,36.76,8535216.0,36.929,39732
2020-09-02,36.9,37.57,36.68,37.17,5599001.0,37.042,31730
2020-09-03,37.21,38.33,36.74,37.09,6238512.0,37.31,34850
2020-09-04,37.12,37.54,36.55,36.89,5078942.0,36.972,30189
2020-09-08,36.91,37.22,36.03,36.1,5539644.0,36.353,30000
2020-09-09,36.04,36.27,35.23,35.35,7032467.0,35.584,35747
2020-09-10,35.63,35.7,34.5,34.67,6094042.0,34.913,31450
2020-09-11,34.71,35.25,33.88,34.7,7431913.0,34.722,36051
2020-09-14,34.81,35.17,34.59,35.11,4087299.0,34.991,22552
2020-09-15,35.19,35.7,34.87,35.27,5620831.0,35.243,27759
2020-09-16,35.43,36.89,35.21,36.28,6381692.0,36.337,30543
2020-09-17,35.71,37.28,35.51,37.21,5396256.0,36.867,30250
