date,open,high,low,close,volume,average,barCount
2020-07-13,37.01,37.01,37.01,37.01,336.0,37.01,1
2020-07-14,37.01,37.01,37.01,37.01,0.0,37.01,0
2020-07-15,37.01,37.01,37.01,37.01,0.0,37.01,0
2020-07-16,36.14,39.5,36.14,39.5,918.0,36.847,3
2020-07-17,38.56,38.56,38.56,38.56,225.0,38.56,1
2020-07-20,38.56,38.56,38.56,38.56,0.0,38.56,0
2020-07-21,38.54,39.01,38.54,39.01,250.0,38.729,2
2020-07-22,38.65,38.65,38.65,38.65,0.0,38.65,0
2020-07-23,38.65,38.65,38.65,38.65,0.0,38.65,0
2020-07-24,37.83,37.83,37.83,37.83,0.0,37.83,0
2020-07-27,38.98,38.98,38.53,38.53,253.0,38.717,2
2020-07-28,37.95,37.95,37.95,37.95,0.0,37.95,0
2020-07-29,36.5,36.51,36.5,36.5,129.0,36.5,1
2020-07-30,36.5,36.5,36.5,36.5,0.0,36.5,0
2020-07-31,35.15,35.15,35.14,35.15,218.0,35.15,2
2020-08-03,38.0,38.91,38.0,38.91,271.0,38.574,2
2020-08-04,37.02,37.02,37.02,37.02,100.0,37.02,1
2020-08-05,38.19,38.19,38.18,38.19,100.0,38.19,1
2020-08-06,38.19,38.19,38.19,38.19,204.0,38.19,1
2020-08-07,35.5,35.5,35.5,35.5,140.0,35.5,1
2020-08-10,35.6,38.4,35.05,38.4,1143.0,35.537,8
2020-08-11,38.3,38.3,36.0,37.52,1251.0,37.294,8
2020-08-12,37.55,39.95,37.0,38.01,2243.0,38.435,19
2020-08-13,39.75,39.75,39.75,39.75,100.0,39.75,1
2020-08-14,39.75,39.75,39.75,39.75,0.0,39.75,0
2020-08-17,40.75,42.47,40.4,40.4,1146.0,41.059,8
2020-08-18,40.4,40.4,40.4,40.4,0.0,40.4,0
2020-08-19,38.5,38.5,38.5,38.5,119.0,38.5,1
2020-08-20,38.5,38.5,38.5,38.5,0.0,38.5,0
2020-08-21,38.5,38.5,38.5,38.5,0.0,38.5,0
2020-08-24,39.39,39.39,39.39,39.39,200.0,39.39,2
