date,open,high,low,close,volume,average,barCount
2020-07-13,197.03,197.16,184.25,184.77,1071102.0,189.585,7875
2020-07-14,182.01,186.17,178.26,185.68,1067982.0,183.13,8000
2020-07-15,186.65,186.87,180.14,183.23,1333680.0,182.465,10231
2020-07-16,179.81,182.77,178.97,181.71,757213.0,180.836,5599
2020-07-17,181.83,184.09,179.88,182.83,536639.0,182.408,4020
2020-07-20,183.2,194.85,183.16,193.99,1264542.0,191.516,8743
2020-07-21,193.17,193.74,187.06,188.5,677542.0,189.167,5569
2020-07-22,189.98,191.86,186.35,188.56,449815.0,188.447,2622
2020-07-23,187.39,190.78,183.96,185.37,489659.0,187.022,3605
2020-07-24,183.37,184.97,181.21,182.78,673491.0,183.005,4931
2020-07-27,184.33,184.74,179.34,183.76,751901.0,182.168,5401
2020-07-28,183.0,183.94,180.08,180.38,649675.0,181.545,5498
2020-07-29,183.0,184.71,180.71,183.91,470829.0,183.241,3810
2020-07-30,180.0,181.49,177.51,180.58,972454.0,179.432,7322
2020-07-31,181.01,181.45,176.8,180.92,738637.0,179.224,5651
2020-08-03,182.47,182.78,179.55,181.59,851388.0,181.122,6683
2020-08-04,181.35,182.34,179.4,181.49,469613.0,180.881,3591
2020-08-05,182.13,184.88,181.02,183.99,425873.0,183.562,3648
2020-08-06,183.98,184.22,180.55,183.69,663539.0,182.961,4535
2020-08-07,184.21,184.46,174.52,177.47,1072168.0,177.352,7365
2020-08-10,177.56,181.74,174.9,181.05,1054663.0,179.582,7373
2020-08-11,178.85,180.39,175.82,177.55,686461.0,178.748,5341
2020-08-12,178.03,181.06,176.25,178.25,618144.0,179.049,4336
2020-08-13,179.56,185.87,179.25,183.76,586436.0,183.591,4033
2020-08-14,183.92,185.48,181.08,181.58,294026.0,182.548,2414
2020-08-17,181.94,186.06,181.81,185.24,631838.0,184.661,4870
2020-08-18,186.57,192.0,184.95,191.56,1261526.0,190.619,8459
2020-08-19,191.77,193.96,190.2,191.2,771072.0,192.018,5412
2020-08-20,190.94,194.89,189.75,194.32,625840.0,193.478,5147
2020-08-21,191.46,193.31,190.52,192.65,535080.0,191.849,4038
2020-08-24,194.15,194.66,190.94,191.6,821509.0,192.532,6152
2020-08-25,191.5,194.57,189.32,194.03,1288767.0,193.238,8850
2020-08-26,200.95,214.95,199.43,213.62,4394757.0,210.031,24542
2020-08-27,212.0,219.29,209.0,216.63,3389536.0,216.281,20508
2020-08-28,240.0,248.75,238.08,243.88,8803546.0,244.252,46729
2020-08-31,241.13,246.9,238.31,239.71,2204697.0,242.211,14927
2020-09-01,241.42,244.75,238.0,241.75,1548827.0,241.256,10537
2020-09-02,242.8,243.38,232.12,233.48,1973706.0,234.832,12803
2020-09-03,230.84,233.23,219.89,223.0,1867020.0,224.969,14275
2020-09-04,223.03,223.32,210.53,215.8,1645660.0,215.833,11004
2020-09-08,208.89,214.6,207.1,208.58,1573876.0,209.982,10080
2020-09-09,213.08,213.78,206.27,210.75,1238545.0,209.923,8527
2020-09-10,211.11,216.33,205.38,207.31,1203422.0,210.406,7806
2020-09-11,210.25,210.51,201.39,206.2,906209.0,206.361,6485
2020-09-14,209.08,211.39,205.14,208.41,1034778.0,208.98,6961
2020-09-15,210.7,212.94,206.0,207.63,1135853.0,208.412,7939
2020-09-16,209.55,210.3,204.18,205.62,1075954.0,207.129,7986
2020-09-17,199.75,203.38,195.88,203.19,1693030.0,200.088,11399
2020-09-18,203.87,205.17,196.2,200.45,1180210.0,200.215,7713
2020-09-21,197.73,203.91,195.81,203.55,940992.0,201.296,6575
2020-09-22,206.68,212.43,203.78,211.8,1176431.0,208.938,8682
2020-09-23,211.59,213.9,206.73,207.39,1050568.0,210.506,8023
2020-09-24,206.52,211.05,204.16,208.69,674187.0,208.564,5241
2020-09-25,209.64,216.13,207.79,215.78,762413.0,213.907,5708
2020-09-28,219.12,221.5,215.25,220.34,1581148.0,219.274,12496
2020-09-29,221.28,222.88,219.7,220.78,1141353.0,221.463,7330
2020-09-30,220.52,222.5,214.0,215.13,1254804.0,217.518,9222
2020-10-01,222.75,222.75,216.7,220.52,1567161.0,219.616,11918
2020-10-02,219.29,225.55,218.0,218.98,1045363.0,221.611,7415
2020-10-05,219.67,224.58,217.58,222.04,694049.0,221.837,5394
2020-10-06,223.18,225.69,215.72,217.01,717211.0,220.325,4909
2020-10-07,227.29,230.27,223.6,227.21,1334219.0,227.776,9884
2020-10-08,229.6,229.6,222.6,224.04,467585.0,224.697,3651
2020-10-09,226.0,226.68,224.32,225.73,475753.0,225.847,3138
2020-10-12,229.39,230.14,224.75,228.19,743862.0,227.217,5585
2020-10-13,228.67,236.84,228.04,232.9,1093572.0,233.583,7801
2020-10-14,235.28,236.6,227.55,230.54,700487.0,231.235,4803
2020-10-15,224.13,228.21,222.51,226.67,1131982.0,225.466,7770
2020-10-16,227.38,231.1,227.15,229.45,608853.0,229.062,4363
2020-10-19,229.76,231.85,226.51,227.64,722022.0,229.449,5123
2020-10-20,232.01,233.78,224.34,224.43,1259519.0,228.156,8411
2020-10-21,224.69,226.95,222.1,224.31,719629.0,224.712,5861
2020-10-22,224.43,225.98,218.21,220.85,305574.0,221.615,2424
2020-10-23,221.49,224.27,219.03,224.14,350452.0,222.342,2653
2020-10-26,218.65,222.82,208.88,210.33,2079842.0,212.03,12394
2020-10-27,211.8,216.16,211.51,214.17,773587.0,213.831,5929
2020-10-28,210.01,212.37,207.23,209.7,660463.0,209.955,5198
2020-10-29,211.45,218.29,211.45,217.63,1096771.0,215.933,8130
2020-10-30,215.17,217.85,208.15,210.12,1190985.0,212.585,7840
2020-11-02,209.73,212.5,201.61,205.48,808426.0,205.736,5475
2020-11-03,206.51,209.88,205.05,209.18,678054.0,208.099,4647
2020-11-04,219.11,224.78,213.51,215.24,1857360.0,217.552,12976
2020-11-05,226.26,231.43,223.42,225.23,1258058.0,226.674,9586
2020-11-06,224.99,227.81,219.22,225.0,743604.0,224.653,4957
2020-11-09,222.28,228.95,218.59,223.4,1065621.0,224.925,8510
2020-11-10,220.77,222.2,209.99,213.9,858505.0,214.011,6525
2020-11-11,216.43,221.55,214.39,218.62,704239.0,219.107,5395
2020-11-12,220.14,224.39,218.61,219.81,636655.0,220.976,5148
2020-11-13,220.83,223.8,218.47,222.0,565825.0,220.967,4241
2020-11-16,219.08,225.81,218.88,224.97,924853.0,223.542,6680
2020-11-17,224.45,228.24,221.9,226.78,959233.0,226.135,7065
2020-11-18,226.5,228.2,222.36,223.61,1045294.0,224.847,7568
2020-11-19,224.27,231.94,223.46,230.8,1988828.0,229.292,12725
2020-11-20,220.22,222.45,209.05,209.4,9297265.0,214.226,52076
2020-11-23,210.47,212.24,204.86,207.1,3262195.0,207.47,17495
2020-11-24,208.44,213.28,205.13,213.14,1798609.0,210.227,12328
2020-11-25,214.0,216.9,209.53,214.88,1646820.0,214.192,11558
2020-11-27,215.0,224.69,214.0,223.86,1367148.0,220.316,8741
2020-11-30,223.44,225.1,218.54,224.79,1257621.0,222.683,9978
2020-12-01,223.44,229.16,222.9,225.7,1572200.0,226.227,11802
2020-12-02,222.95,226.07,219.78,225.43,1149493.0,223.493,7898
2020-12-03,224.34,226.79,223.36,224.17,890864.0,224.569,4350
2020-12-04,224.52,226.49,221.31,222.18,717566.0,223.322,5760
2020-12-07,221.99,228.6,221.47,227.28,927059.0,226.575,7347
