date,open,high,low,close,volume,average,barCount
2020-07-13,32.26,32.59,31.6,31.62,4257683.9597670715,32.1492688,20025
2020-07-14,31.27,31.87,30.65,31.77,3653823.451561672,31.2689948,16071
2020-07-15,32.48,33.38,32.25,33.3,5121373.742721016,33.0015856,22285
2020-07-16,33.01,33.44,32.63,33.1,3245848.332451032,33.1307932,14711
2020-07-17,33.2,33.36,32.52,32.8,2226533.8803599784,32.8164636,9389
2020-07-20,32.61,33.15,32.32,32.93,3022751.4557967177,32.7643272,13178
2020-07-21,33.22,33.97,33.1,33.37,4169245.632609846,33.6121104,19599
2020-07-22,33.37,33.43,32.85,33.22,3382323.9809422973,33.0854572,15223
2020-07-23,33.41,35.81,33.19,34.88,12634415.03440974,34.9072088,47179
2020-07-24,34.34,34.35,32.27,32.38,8928728.16304923,32.9418932,34100
2020-07-27,32.69,33.07,32.15,33.04,4174133.139227104,32.759038,18256
2020-07-28,32.8,33.12,32.32,32.38,3093530.9687665426,32.6222744,14402
2020-07-29,31.82,32.45,31.61,32.05,5846275.8073054515,32.0495296,24037
2020-07-30,31.64,32.35,31.27,32.31,3645971.4134462676,31.8696968,14919
2020-07-31,32.42,32.6,31.76,32.57,3508067.7607199573,32.1915824,15251
2020-08-03,32.61,33.24,32.04,33.17,4242314.716781366,32.9169584,16394
2020-08-04,32.82,33.84,32.77,33.82,3934712.8110111165,33.3627624,16109
2020-08-05,34.13,34.27,33.29,33.6,4904064.319745896,33.7088272,18736
2020-08-06,29.54,29.63,27.88,28.18,39535325.56908417,28.2662404,119491
2020-08-07,28.23,28.64,27.58,27.95,11430816.56961355,27.8793732,38939
2020-08-10,28.16,28.55,27.75,28.23,8751302.276336685,28.1748128,30715
2020-08-11,28.44,28.81,27.87,27.94,6785956.855479089,28.3969592,23972
2020-08-12,28.18,28.2,27.59,27.78,6603423.769190047,27.828748,25231
2020-08-13,27.5,27.65,26.92,27.01,9421359.184753837,27.1879992,32732
2020-08-14,26.96,27.25,26.76,27.01,5190888.035997882,26.9741644,20558
2020-08-17,27.17,27.24,26.79,26.9,3544655.9025939647,27.024034,13340
2020-08-18,26.95,26.95,26.12,26.23,6548161.725780835,26.336438,21719
2020-08-19,26.37,26.65,25.95,26.03,5643214.663843303,26.2540776,19180
2020-08-20,25.54,25.97,25.39,25.77,4834994.706193753,25.7342248,17967
2020-08-21,25.47,25.65,25.34,25.47,4943680.518793011,25.5045224,19603
2020-08-24,25.64,26.17,25.49,26.1,6240760.984647961,26.0092632,23825
2020-08-25,26.27,26.78,25.85,25.92,5251889.8888300685,26.1195808,18702
2020-08-26,26.02,26.15,25.72,25.92,4355940.974060349,25.9299252,17081
2020-08-27,26.14,26.7,25.6,26.63,7668973.001588141,26.1709616,26920
2020-08-28,26.77,28.61,26.72,28.59,13055451.296982529,28.0916968,45508
2020-08-31,28.47,29.11,28.08,29.03,9492739.544732662,28.7913824,39218
2020-09-01,28.75,28.97,27.83,28.21,6159344.891476971,28.1808576,25355
2020-09-02,28.5,29.66,28.47,29.36,7756139.491794599,29.287056,31748
2020-09-03,29.14,29.32,27.73,28.49,7761344.626786659,28.3077984,32724
2020-09-04,28.47,29.0,28.03,28.83,7863501.852832185,28.6478184,34372
2020-09-08,28.0,28.35,27.51,27.54,5915489.677077818,27.9526664,28914
2020-09-09,27.72,27.84,26.92,27.62,6298447.591318157,27.4313024,28064
2020-09-10,27.86,28.1,27.23,27.39,5295501.5881418735,27.6730944,25321
2020-09-11,27.58,28.57,27.4,28.24,6951962.67866596,28.12721,31405
2020-09-14,28.7,29.47,28.7,29.42,6430663.049232397,29.1563372,28447
2020-09-15,29.54,29.54,28.4,28.55,4783392.006352567,28.8095168,21835
2020-09-16,28.78,29.76,28.72,29.31,5782478.824775012,29.41173,24730
2020-09-17,28.5,29.25,28.26,28.92,3790149.5500264685,28.8397408,18134
2020-09-18,28.95,29.01,27.72,28.12,4849417.681312864,28.2685072,20229
2020-09-21,27.52,27.56,26.87,27.27,4798970.354685018,27.1849768,22133
2020-09-22,27.5,27.67,27.19,27.56,3079685.0185283213,27.4229908,13954
2020-09-23,29.22,31.07,29.14,29.41,15059426.945473794,30.0479452,58439
2020-09-24,29.19,29.22,28.27,28.36,5618946.532556907,28.59946,24648
2020-09-25,28.24,29.1,27.92,29.07,3949331.656961355,28.603238,17346
2020-09-28,29.28,29.65,29.01,29.18,5501658.284806775,29.2462536,24569
2020-09-29,29.05,30.26,29.05,29.71,7036377.7130757,29.8484668,32145
2020-09-30,28.64,28.73,27.56,27.62,16107105.61143462,27.9881796,60746
2020-10-01,27.81,27.98,27.27,27.45,8467372.948650079,27.4932616,33886
2020-10-02,26.74,27.64,26.67,27.17,5332423.239809422,27.2227568,24132
2020-10-05,27.43,27.91,27.35,27.63,4521183.165696135,27.5998012,18816
2020-10-06,27.65,28.05,27.33,27.4,4780530.7040762305,27.7048296,20277
2020-10-07,27.9,28.58,27.74,28.37,5233681.842244573,28.308554,19198
2020-10-08,28.7,29.33,28.63,29.24,4784393.859184753,29.0656652,20027
2020-10-09,29.58,29.88,28.69,28.8,4987219.428268924,29.056598,20626
2020-10-12,28.83,29.06,28.41,28.95,5192567.496029644,28.73169,23631
2020-10-13,29.08,29.46,28.52,28.6,4377014.293276865,28.8707204,19748
2020-10-14,28.72,28.97,28.43,28.51,3440809.9523557434,28.6039936,16742
2020-10-15,28.09,28.74,27.83,28.71,3720967.4430915825,28.2957088,16790
2020-10-16,28.78,29.4,28.4,28.67,7585884.065643197,28.9455248,33427
2020-10-19,28.92,31.7,28.74,30.92,19343611.699311804,30.6184232,67958
2020-10-20,30.89,31.61,30.83,31.29,8047323.980942297,31.3226424,35080
2020-10-21,31.57,32.13,31.5,31.78,7439927.210164107,31.8696968,29436
2020-10-22,31.81,33.07,31.47,32.45,6672388.830068818,32.354792,28196
2020-10-23,32.24,32.29,31.21,31.52,6633092.906299628,31.550078,31433
2020-10-26,31.31,31.33,30.1,30.59,4913435.680254102,30.5609976,23368
2020-10-27,30.47,30.8,30.22,30.47,4253656.696664901,30.5315292,20811
2020-10-28,29.19,29.92,29.16,29.32,5515968.766543143,29.5228032,24579
2020-10-29,28.75,29.26,28.24,28.8,6723123.345685547,28.7747592,30600
2020-10-30,28.7,28.89,27.93,28.51,5293955.796717839,28.2435724,24501
2020-11-02,28.78,28.78,27.65,27.98,5610676.283748014,27.960978,25669
2020-11-03,28.43,28.78,28.19,28.32,4512132.080465854,28.493676,21930
2020-11-04,28.8,28.8,27.73,28.34,4260514.82265749,28.3818472,19509
2020-11-05,28.67,29.65,28.49,29.58,4647125.463208046,29.3127464,21509
2020-11-06,29.66,30.28,29.54,30.08,3108671.25463208,30.0585236,14984
2020-11-09,31.36,32.46,31.1,31.34,6211127.580730544,31.5138092,30280
2020-11-10,31.28,31.66,30.91,31.18,4078014.82265749,31.2916628,19201
2020-11-11,31.58,31.68,30.5,30.68,3733340.391741662,30.84737,17073
2020-11-12,30.47,30.57,29.44,29.7,4273205.399682371,29.8718904,19128
2020-11-13,29.96,31.41,29.96,31.33,5162208.840656431,31.0506264,21887
2020-11-16,32.2,32.94,31.88,32.93,5965463.208046584,32.52858,25414
2020-11-17,32.48,32.64,31.86,32.28,3918399.947061937,32.24523,17121
2020-11-18,32.35,32.82,32.09,32.11,3866447.8560084696,32.4560424,16387
2020-11-19,31.91,32.24,31.58,32.2,2636291.6887241923,31.946768,12610
2020-11-20,32.17,32.61,32.04,32.05,2157830.862890418,32.2505192,10412
2020-11-23,32.41,33.81,32.2,33.61,5938483.324510322,33.382408,24175
2020-11-24,34.07,34.72,33.74,34.64,4603467.4430915825,34.372244,19726
2020-11-25,34.43,34.48,33.59,34.2,3240221.0164107988,34.0843604,15262
2020-11-27,34.22,34.92,34.22,34.64,2207830.862890418,34.7099972,9747
2020-11-30,34.73,35.17,33.81,33.91,4499149.020645844,34.3140628,21328
2020-12-01,34.36,36.36,34.27,35.72,6969377.977766013,35.7791712,29535
2020-12-02,35.62,36.21,35.46,36.06,4513077.024880889,35.906112,20878
2020-12-03,36.36,37.04,36.0,36.63,4956102.435150873,36.6707792,20303
2020-12-04,37.02,39.16,36.96,39.1,6922845.420857595,38.53862240000001,29004
2020-12-07,38.99,39.66,38.5,38.64,4645925.092641609,38.94740200000001,21048
2020-12-08,38.39,39.64,38.35,39.61,3581638.4330333504,39.30480080000001,16294
2020-12-09,39.74,40.21,38.23,38.61,4643226.574907358,39.16879280000001,21399
2020-12-10,37.81,39.26,37.71,39.0,3722069.878242456,38.72298880000001,17328
2020-12-11,38.54,39.07,38.2,38.6,3114464.002117522,38.62702760000001,15286
2020-12-14,38.95,39.59,38.57,38.64,3621496.8237162516,39.04411880000001,14455
2020-12-15,39.37,40.49,39.2,40.49,4807241.926945473,39.92817080000001,18232
2020-12-16,40.56,40.76,39.94,40.06,2880619.3753308626,40.28028040000001,12812
2020-12-17,40.31,40.43,39.94,40.39,2697207.51720487,40.22285480000001,12329
2020-12-18,40.62,41.25,40.02,40.19,4987530.439385918,40.64976880000001,20812
2020-12-21,39.03,39.64,38.88,39.45,3366561.6728427736,39.25644240000001,14917
2020-12-22,39.55,39.59,37.54,37.57,3984962.9433562728,38.10339680000001,18650
2020-12-23,37.74,38.23,37.33,37.73,2608275.54261514,37.957566,12055
2020-12-24,38.01,38.07,37.29,37.72,1138287.4536791951,37.5329188,5118
2020-12-28,38.24,38.51,37.5,37.83,2594695.6061408147,37.8585824,10482
2020-12-29,38.32,38.32,36.44,36.49,4711471.67813658,36.8030092,18996
2020-12-30,36.52,38.0,36.48,37.42,4104829.2747485437,37.5374524,16638
2020-12-31,37.61,42.28,37.57,41.85,17624449.444150344,41.04041400000001,51422
2021-01-04,41.52,41.8,39.32,39.46,7639412.387506616,40.35961840000001,32151
2021-01-05,39.79,40.81,39.78,40.09,3857502.646903123,40.30294840000001,16504
2021-01-06,39.96,41.26,39.77,40.36,4446790.629962943,40.58705400000001,16418
2021-01-07,40.88,41.85,40.73,41.36,4264585.759661196,41.37061120000001,17511
2021-01-08,41.7,41.9,38.74,39.16,7639781.630492323,39.77931760000001,29262
2021-01-11,38.44,39.44,38.24,38.96,3394158.2848067754,39.04336320000001,15559
2021-01-12,38.88,39.09,37.59,37.7,4955618.051879301,38.11926440000001,21411
2021-01-13,37.39,37.59,36.74,37.38,6838442.29751191,37.1520964,27808
2021-01-14,37.54,38.63,36.98,38.06,4861365.802011645,37.9137412,17886
2021-01-15,37.92,39.38,37.76,38.69,5573737.427210163,38.64969560000001,23145
2021-01-19,38.87,39.41,38.31,39.28,3432412.6521969293,38.91188880000001,14292
2021-01-20,39.76,39.99,38.82,39.16,2996523.292747485,39.36524880000001,10706
2021-01-21,39.35,40.68,39.16,40.43,4174757.8083642134,40.01204240000001,16847
2021-01-22,39.4,39.56,37.9,38.32,5411855.479089465,38.41697080000001,21878
2021-01-25,38.32,38.81,37.91,38.75,3003488.6183165694,38.49328640000001,14797
2021-01-26,39.13,39.74,38.9,39.34,3354694.2826892533,39.38111640000001,16074
2021-01-27,38.54,41.89,38.37,40.19,8761312.863949178,40.37850840000001,37642
2021-01-28,40.46,40.71,39.34,39.78,5664974.854420328,39.99844160000001,22895
2021-01-29,44.32,45.85,41.65,42.64,16321944.150344096,43.46135640000001,64313
2021-02-01,42.78,43.79,42.64,43.52,4534182.1069348855,43.27925680000001,19472
2021-02-02,44.28,44.59,43.44,43.76,3411633.139227104,43.88222560000001,16167
2021-02-03,43.86,44.36,43.24,43.6,2768828.745367919,43.86786920000001,12410
2021-02-04,44.01,44.89,43.87,44.78,3321318.1577554257,44.47461600000001,15020
2021-02-05,44.97,45.56,44.76,45.14,2880690.841715193,45.15994520000001,12494
