date,open,high,low,close,volume,average,barCount
2020-07-13,50.75,51.08,49.67,50.02,1477349.0,50.312,11179
2020-07-14,50.1,50.98,49.73,49.94,1209936.0,50.072,8700
2020-07-15,51.53,51.69,50.18,51.04,1343344.0,50.845,9567
2020-07-16,50.47,51.12,49.53,49.88,1434107.0,50.057,10326
2020-07-17,50.1,51.3,49.63,50.99,1224448.0,50.652,8486
2020-07-20,50.48,50.95,49.09,49.3,1549281.0,49.584,10061
2020-07-21,49.99,50.47,49.39,49.48,987817.0,49.911,6367
2020-07-22,49.24,52.86,48.9,52.33,3027671.0,51.921,17780
2020-07-23,51.68,52.47,51.38,51.94,1535013.0,51.969,10196
2020-07-24,52.22,52.71,51.14,51.42,1715220.0,51.694,8478
2020-07-27,51.17,51.31,50.13,51.01,1069372.0,50.866,8311
2020-07-28,51.01,53.54,51.0,53.14,1684969.0,52.475,9649
2020-07-29,53.78,54.73,53.26,54.69,2084642.0,54.084,12226
2020-07-30,53.49,54.85,53.21,54.52,1474341.0,54.332,9894
2020-07-31,54.32,54.5,52.73,53.56,1993277.0,53.476,12456
2020-08-03,52.73,53.28,51.91,52.87,1688412.0,52.759,10736
2020-08-04,52.88,54.17,52.88,53.29,1806031.0,53.563,12652
2020-08-05,53.9,54.03,52.67,53.15,1437002.0,53.02,9804
2020-08-06,53.24,57.19,52.69,56.41,2786250.0,56.3,16819
2020-08-07,56.03,57.84,55.62,57.18,2479492.0,57.133,17178
2020-08-10,57.1,57.97,56.32,57.44,1812090.0,57.394,10210
2020-08-11,58.28,58.58,56.33,56.63,1995700.0,57.068,14135
2020-08-12,56.78,57.1,56.0,56.91,1085973.0,56.614,7512
2020-08-13,56.58,57.58,55.64,55.99,1209418.0,56.291,8310
2020-08-14,56.02,57.76,55.6,56.75,1440685.0,57.034,10288
2020-08-17,56.55,56.55,55.47,55.98,1186927.0,55.917,7715
2020-08-18,55.85,55.85,54.53,54.94,1285109.0,55.003,7517
2020-08-19,55.15,55.35,53.79,53.95,1370815.0,54.287,9233
2020-08-20,53.32,55.72,53.05,55.08,1380449.0,55.111,8917
2020-08-21,55.36,56.23,54.61,56.13,1599446.0,55.656,10930
2020-08-24,55.84,57.44,55.3,57.42,1345590.0,56.592,9242
2020-08-25,57.27,57.6,56.45,57.59,2641007.0,57.146,11140
2020-08-26,57.33,57.57,55.28,55.85,1330445.0,55.961,8975
2020-08-27,55.6,58.02,55.6,57.92,2083735.0,57.464,13558
2020-08-28,58.02,59.47,57.14,59.45,1686052.0,58.627,10242
2020-08-31,58.97,59.23,57.44,57.52,1450521.0,58.185,8291
2020-09-01,57.13,58.27,56.51,58.13,844352.0,57.803,6001
2020-09-02,58.14,60.1,57.45,60.01,1471250.0,59.246,10186
2020-09-03,60.15,61.5,59.4,60.45,2041410.0,60.313,13573
2020-09-04,60.58,61.38,59.45,61.12,2031497.0,60.673,15165
