date,open,high,low,close,volume,average,barCount
2020-07-13,18.61,18.92,18.45,18.56,5560757.0,18.652,26977
2020-07-14,18.44,19.15,18.34,19.1,6727431.0,18.951,31628
2020-07-15,19.54,20.14,19.37,20.08,7614487.0,19.799,34222
2020-07-16,20.03,20.13,19.61,19.9,8464891.0,19.913,35646
2020-07-17,19.98,20.28,19.66,19.77,4541331.0,19.832,23591
2020-07-20,19.67,19.8,19.23,19.29,5082656.0,19.423,24459
2020-07-21,19.51,20.12,19.51,20.11,5321487.0,19.976,28003
2020-07-22,19.79,19.83,19.2,19.45,5552478.0,19.429,30131
2020-07-23,19.36,19.5,19.04,19.32,5677586.0,19.227,27669
2020-07-24,19.4,19.56,19.17,19.21,4308520.0,19.309,20596
2020-07-27,19.12,19.14,18.61,18.83,6876133.0,18.762,37342
2020-07-28,18.74,19.04,18.67,18.87,5390347.0,18.876,27058
2020-07-29,18.85,19.85,18.85,19.77,7372536.0,19.498,34573
2020-07-30,19.37,19.44,19.09,19.34,5172367.0,19.288,30541
2020-07-31,19.29,19.34,18.72,19.13,7604816.0,18.998,35328
2020-08-03,19.2,20.0,19.0,19.72,6358219.0,19.71,34476
2020-08-04,19.83,21.44,19.8,21.34,11957894.0,20.938,52868
2020-08-05,21.72,21.83,21.17,21.29,7013967.0,21.458,37469
2020-08-06,21.22,21.28,20.71,20.82,8407873.0,20.952,40127
2020-08-07,20.57,20.86,20.46,20.85,5717547.0,20.602,28350
2020-08-10,20.81,21.67,20.81,21.54,4943470.0,21.386,23968
2020-08-11,21.77,21.86,21.37,21.42,8096996.0,21.645,37830
2020-08-12,21.69,21.86,21.47,21.61,4531608.0,21.598,24018
2020-08-13,21.52,21.79,21.37,21.57,3883035.0,21.608,21666
2020-08-14,21.49,22.33,21.41,22.13,5165157.0,22.088,25140
2020-08-17,22.13,22.43,21.92,22.34,5079983.0,22.243,28265
2020-08-18,22.26,22.31,21.72,21.8,4815397.0,21.912,24877
2020-08-19,21.85,22.09,21.62,21.65,3793604.0,21.776,19080
2020-08-20,21.41,21.58,21.18,21.4,4431098.0,21.453,22553
2020-08-21,21.41,21.46,21.12,21.41,4007323.0,21.339,21475
2020-08-24,21.51,21.69,21.17,21.68,4300420.0,21.543,20507
2020-08-25,21.85,21.85,21.11,21.39,5335547.0,21.34,26381
2020-08-26,21.35,21.39,20.89,21.05,4768975.0,21.081,23633
2020-08-27,21.01,21.29,20.73,20.96,7467085.0,20.937,31450
2020-08-28,21.04,21.27,20.79,21.07,4346078.0,20.997,22465
2020-08-31,21.16,21.21,20.74,20.76,4137708.0,20.849,21673
2020-09-01,20.6,21.05,20.44,20.96,4971541.0,20.87,24777
2020-09-02,20.96,21.35,20.86,21.28,5808162.0,21.193,27577
2020-09-03,21.24,21.4,20.72,20.9,5449816.0,21.037,30090
2020-09-04,21.0,21.12,20.4,20.69,4559853.0,20.657,27840
2020-09-08,20.5,20.75,20.22,20.48,7176379.0,20.526,41826
2020-09-09,20.71,21.32,20.71,21.02,8629574.0,21.136,42174
2020-09-10,20.64,20.67,20.17,20.18,6377881.0,20.36,35413
2020-09-11,20.29,20.62,20.1,20.23,6647991.0,20.32,33350
2020-09-14,20.35,20.99,20.16,20.85,6000551.0,20.749,31175
2020-09-15,20.92,21.22,20.76,20.87,6450116.0,20.976,32572
2020-09-16,21.05,21.64,20.93,21.42,7094924.0,21.387,37580
2020-09-17,21.06,21.34,20.83,21.31,7406255.0,21.118,38434
2020-09-18,21.01,21.18,20.52,20.74,9257701.0,20.776,39648
2020-09-21,20.3,20.71,20.02,20.67,6066878.0,20.405,34605
2020-09-22,20.63,21.01,20.61,20.81,8694522.0,20.848,43872
2020-09-23,20.86,20.97,19.9,19.91,10991259.0,20.306,53048
2020-09-24,19.82,20.18,19.33,19.93,8122804.0,19.741,43499
2020-09-25,19.74,20.03,19.58,19.98,6741444.0,19.793,34508
2020-09-28,20.19,20.64,20.02,20.4,6098286.0,20.369,30543
2020-09-29,20.45,20.63,20.09,20.26,6076502.0,20.356,29776
2020-09-30,20.37,20.5,19.63,19.65,8566859.0,19.967,38129
2020-10-01,19.46,19.61,18.65,18.78,12484898.0,18.983,55333
2020-10-02,18.44,19.27,18.31,19.09,9871776.0,18.952,43926
2020-10-05,19.32,19.69,19.17,19.54,5110349.0,19.419,26326
2020-10-06,19.79,19.88,19.28,19.33,10019760.0,19.639,45650
2020-10-07,19.46,19.58,19.14,19.39,5959214.0,19.304,28124
2020-10-08,19.5,20.01,19.29,19.99,5009042.0,19.684,25356
2020-10-09,20.05,20.11,19.34,19.42,7856804.0,19.517,36149
2020-10-12,19.54,19.56,19.23,19.45,7415085.0,19.391,32884
2020-10-13,19.32,19.61,19.27,19.42,7247835.0,19.445,32485
2020-10-14,19.43,20.17,19.43,19.68,7268610.0,19.86,33481
2020-10-15,19.25,19.77,19.01,19.71,8736358.0,19.498,37167
2020-10-16,19.76,19.98,19.26,19.27,6077934.0,19.51,24940
2020-10-19,19.43,19.67,19.13,19.29,5839990.0,19.373,27929
2020-10-20,19.46,19.88,19.43,19.69,5961401.0,19.704,31454
2020-10-21,19.64,19.8,19.3,19.3,5685531.0,19.512,30220
2020-10-22,19.26,20.32,19.23,20.31,6054534.0,19.986,32113
2020-10-23,20.39,20.44,19.66,19.96,5004222.0,19.955,25832
2020-10-26,19.66,19.67,18.84,19.2,6754944.0,19.152,32660
2020-10-27,19.34,19.57,19.13,19.42,5765437.0,19.397,29367
2020-10-28,19.0,19.27,18.7,18.86,6721463.0,18.988,37636
2020-10-29,18.78,19.18,18.31,19.1,6196939.0,18.829,33806
2020-10-30,18.83,19.21,18.6,19.19,6602172.0,18.907,38375
2020-11-02,19.5,19.5,18.61,18.77,9566367.0,18.876,48369
2020-11-03,19.03,19.23,18.45,18.98,5615301.0,18.932,29389
2020-11-04,19.13,19.63,18.73,19.09,5172141.0,19.307,29021
2020-11-05,19.11,19.55,19.05,19.11,6476911.0,19.25,31562
2020-11-06,19.13,19.47,18.26,18.26,7391517.0,18.615,37167
2020-11-09,19.82,20.07,19.22,19.35,11740758.0,19.581,62766
2020-11-10,19.61,20.02,19.25,19.99,8956446.0,19.707,46874
2020-11-11,20.18,20.21,19.73,20.02,6945980.0,19.915,37964
2020-11-12,19.81,19.98,19.06,19.34,6685742.0,19.499,33734
2020-11-13,19.52,20.16,19.47,20.04,5100011.0,19.962,26066
2020-11-16,20.63,20.65,20.16,20.23,7112891.0,20.373,36693
2020-11-17,20.11,20.84,19.98,20.83,8825776.0,20.516,41919
2020-11-18,20.91,20.96,19.99,20.0,9349649.0,20.468,42834
2020-11-19,19.86,20.24,19.57,20.16,8883863.0,19.901,44112
2020-11-20,20.13,20.37,19.98,20.34,5537146.0,20.192,26771
2020-11-23,20.61,21.33,20.35,21.28,6621827.0,21.156,31735
2020-11-24,21.7,22.02,21.52,21.96,7841451.0,21.891,40523
2020-11-25,21.87,21.87,21.33,21.62,4794499.0,21.59,26953
2020-11-27,21.54,21.7,21.34,21.46,2541185.0,21.511,14653
2020-11-30,21.41,21.62,20.87,20.98,7172798.0,21.16,32863
