date,open,high,low,close,volume,average,barCount
2020-07-13,233.74,237.03,228.49,229.04,348187.0,232.788,2822
2020-07-14,227.02,233.76,223.84,233.28,240965.0,230.252,1839
2020-07-15,237.2,241.7,233.52,241.22,282894.0,239.513,2241
2020-07-16,239.72,241.76,238.57,240.36,197518.0,240.39,1533
2020-07-17,242.0,248.13,241.99,246.94,308590.0,246.267,2342
2020-07-20,247.03,252.61,246.69,251.84,309110.0,250.382,1656
2020-07-21,255.34,255.34,249.6,252.86,346467.0,252.054,2656
2020-07-22,253.88,257.92,252.8,255.37,284643.0,255.218,2385
2020-07-23,264.56,273.78,260.74,262.06,626859.0,266.304,4394
2020-07-24,260.0,262.86,253.75,262.66,628909.0,259.595,4406
2020-07-27,265.39,270.14,264.35,267.03,252200.0,267.363,1872
2020-07-28,266.7,269.67,263.71,264.3,254270.0,265.954,2092
2020-07-29,265.68,271.83,265.68,269.62,225831.0,269.876,1842
2020-07-30,266.98,269.97,266.31,268.96,265333.0,268.272,2201
2020-07-31,270.35,273.27,267.13,268.87,315304.0,269.227,2356
2020-08-03,272.4,279.54,271.01,278.64,386983.0,277.058,3048
2020-08-04,276.49,277.17,272.34,274.44,283502.0,274.449,2230
2020-08-05,275.0,277.15,273.22,274.65,274653.0,274.745,2094
2020-08-06,275.8,276.12,270.4,273.89,158998.0,272.887,1347
2020-08-07,273.94,277.8,270.95,273.55,144606.0,273.884,1281
2020-08-10,272.0,273.41,265.64,266.38,279259.0,267.359,2066
2020-08-11,267.0,268.21,261.6,264.55,345640.0,265.133,2749
2020-08-12,264.44,274.34,264.44,272.44,241645.0,272.28,1873
2020-08-13,272.45,276.6,272.24,275.16,156766.0,274.896,1298
2020-08-14,275.16,276.45,270.77,272.47,134677.0,272.657,1178
2020-08-17,274.2,277.41,274.03,274.99,188309.0,275.358,1527
2020-08-18,275.53,277.15,274.34,275.31,160836.0,275.829,1348
2020-08-19,276.46,278.39,273.73,274.92,139866.0,276.045,1134
2020-08-20,274.62,278.22,274.62,275.47,146276.0,276.106,1187
2020-08-21,275.78,276.0,270.38,271.48,258672.0,271.976,2181
2020-08-24,272.52,275.17,267.95,269.67,376605.0,270.426,2842
2020-08-25,269.87,275.0,268.58,274.6,273721.0,272.692,2262
2020-08-26,272.97,275.7,270.89,274.11,171024.0,273.655,1388
2020-08-27,273.5,275.4,269.56,273.92,176782.0,273.154,1505
2020-08-28,273.53,275.16,270.03,271.59,132813.0,271.49,941
2020-08-31,272.0,285.0,272.0,283.96,398545.0,281.78,2607
2020-09-01,285.45,287.45,278.75,281.75,250082.0,281.049,1798
2020-09-02,283.7,288.65,279.14,288.02,310842.0,285.682,2412
2020-09-03,284.3,284.3,264.27,267.3,365071.0,270.099,2807
2020-09-04,265.74,268.5,254.01,263.66,212698.0,262.035,1711
2020-09-08,260.43,266.83,257.85,262.62,211746.0,263.527,1802
2020-09-09,267.03,276.73,266.31,272.57,208483.0,273.329,1779
2020-09-10,272.57,278.45,271.43,275.38,248851.0,275.399,2057
2020-09-11,277.3,278.53,271.18,272.41,213703.0,274.672,1544
2020-09-14,274.91,278.57,274.16,277.87,216904.0,276.42,1679
2020-09-15,279.53,285.25,279.0,284.38,213767.0,283.527,1479
2020-09-16,285.38,287.81,280.41,281.28,223320.0,284.08,1077
2020-09-17,278.65,279.09,271.27,274.96,259091.0,274.075,2025
2020-09-18,275.62,282.69,274.98,277.73,269959.0,278.062,1863
