date,open,high,low,close,volume,average,barCount
2020-07-13,76.07,84.99,73.09,81.27,13567522.0,80.458,65141
2020-07-14,79.24,80.24,76.7,79.3,4475811.0,78.838,23116
2020-07-15,82.01,86.96,81.61,86.74,5880858.0,84.656,29112
2020-07-16,84.45,86.07,83.55,84.6,2653054.0,84.846,13766
2020-07-17,84.8,85.18,81.96,82.76,2104366.0,83.184,11986
2020-07-20,82.37,82.95,79.67,79.97,2245959.0,80.795,12423
2020-07-21,81.13,82.47,78.92,79.19,3166371.0,80.585,17290
2020-07-22,78.53,78.95,75.36,76.1,3078117.0,77.07,17255
2020-07-23,75.83,75.94,73.37,73.9,4163561.0,74.517,21542
2020-07-24,72.89,73.41,71.6,73.41,2524531.0,72.558,14746
2020-07-27,72.63,73.55,70.02,70.69,3720902.0,70.986,19823
2020-07-28,70.62,74.97,70.47,73.37,3947111.0,73.623,18882
2020-07-29,74.28,75.4,73.19,75.29,2424210.0,74.556,12150
2020-07-30,76.7,77.15,74.7,76.42,3132818.0,76.132,16853
2020-07-31,75.99,76.24,71.5,72.43,3616357.0,72.478,19335
2020-08-03,71.77,73.68,70.32,73.05,3414768.0,72.11,16778
2020-08-04,72.53,74.37,71.82,72.75,2898838.0,72.803,16312
2020-08-05,73.08,75.24,70.51,71.28,5658393.0,71.978,29105
2020-08-06,70.9,77.09,70.77,76.57,6295496.0,75.492,28968
2020-08-07,75.05,75.96,73.11,74.1,3855272.0,74.257,18773
2020-08-10,78.25,81.75,77.36,81.48,7772225.0,80.387,38072
2020-08-11,85.86,89.42,84.85,88.29,9165781.0,87.495,45504
2020-08-12,89.25,89.5,83.37,85.8,5215680.0,85.224,24852
2020-08-13,84.29,86.73,84.24,86.67,2487946.0,85.955,14866
2020-08-14,85.23,86.09,84.15,84.98,2052606.0,85.086,10637
2020-08-17,85.37,85.69,83.19,83.5,1527412.0,84.108,8219
2020-08-18,83.85,83.9,81.51,81.63,1720732.0,82.292,8077
2020-08-19,82.62,83.8,80.96,81.26,1916778.0,82.161,8835
2020-08-20,80.0,81.09,79.02,80.28,2274540.0,79.943,10749
2020-08-21,81.82,85.58,81.1,82.79,3358616.0,83.745,17334
2020-08-24,83.66,86.85,81.35,86.79,3440815.0,85.294,16933
2020-08-25,87.59,88.22,84.71,86.21,2005631.0,86.051,8740
2020-08-26,85.89,86.04,84.29,84.8,1622766.0,85.081,7365
2020-08-27,84.66,88.35,84.66,86.52,2771347.0,86.87,13673
2020-08-28,87.8,93.21,86.71,91.55,4606324.0,90.904,22518
2020-08-31,90.54,90.8,87.45,87.45,2386984.0,88.588,12016
2020-09-01,87.09,88.65,85.41,86.28,1902519.0,86.702,9494
2020-09-02,86.27,89.69,86.06,89.33,1742306.0,88.029,9126
2020-09-03,89.17,91.9,85.8,87.36,2413264.0,88.524,13183
2020-09-04,88.31,89.99,84.58,87.72,2428675.0,87.065,13113
2020-09-08,85.07,85.41,82.49,82.68,2937752.0,83.856,15590
2020-09-09,83.66,83.66,80.6,82.95,2228826.0,82.353,12563
2020-09-10,84.13,86.41,83.12,83.33,2323971.0,84.92,14123
2020-09-11,84.62,84.9,80.88,82.11,1523105.0,82.422,8865
2020-09-14,82.99,83.84,81.86,83.8,1520929.0,83.068,10113
2020-09-15,83.91,83.96,80.77,82.28,2658408.0,82.206,15496
2020-09-16,81.19,81.29,77.32,79.66,5246565.0,79.276,27616
2020-09-17,78.03,80.57,77.99,79.3,1899544.0,79.077,11295
2020-09-18,78.86,79.67,76.27,77.7,2275465.0,77.732,12942
2020-09-21,73.72,74.61,70.84,72.3,4924566.0,71.932,27099
2020-09-22,72.68,75.17,72.01,73.42,2447615.0,73.161,12826
2020-09-23,73.94,75.73,70.51,70.69,3019602.0,72.363,16118
2020-09-24,70.5,72.35,68.79,71.07,2911917.0,70.875,15881
2020-09-25,71.16,72.56,70.62,72.36,1902776.0,71.718,9847
2020-09-28,73.11,74.57,72.43,73.62,2304983.0,73.629,12245
2020-09-29,73.24,73.24,70.55,70.98,2912478.0,71.363,16706
2020-09-30,71.94,73.94,71.18,71.81,3286159.0,72.677,14936
2020-10-01,72.12,72.72,71.11,72.07,2923063.0,71.79,14739
2020-10-02,70.12,73.44,69.6,73.2,2169391.0,71.954,11218
2020-10-05,73.06,74.07,72.03,73.85,2470677.0,73.08,13559
2020-10-06,74.57,77.74,74.01,74.32,3367905.0,75.938,17098
2020-10-07,75.72,75.95,74.23,75.06,2173561.0,75.051,9973
2020-10-08,75.28,76.09,73.91,74.32,1796152.0,74.7,9791
2020-10-09,74.62,75.53,72.45,72.67,2292049.0,73.517,11961
2020-10-12,72.85,74.2,72.35,74.11,1445405.0,73.579,7593
2020-10-13,73.21,73.21,69.49,71.74,4170926.0,71.208,21369
2020-10-14,71.49,72.55,70.76,71.7,2401536.0,71.666,12529
2020-10-15,71.23,72.75,70.66,72.7,1884729.0,71.934,10431
2020-10-16,72.39,73.37,70.92,71.12,2282659.0,71.626,10740
2020-10-19,71.4,72.24,69.5,69.67,2892821.0,70.74,14480
2020-10-20,70.16,73.08,70.01,72.44,2637367.0,72.053,13682
2020-10-21,72.01,73.41,71.31,72.85,1608102.0,72.575,9763
2020-10-22,74.96,76.65,74.15,76.42,2958634.0,75.593,16248
2020-10-23,76.65,76.84,74.79,76.56,1507543.0,75.909,9328
2020-10-26,74.59,74.66,71.77,73.52,2089089.0,73.104,12247
2020-10-27,73.73,73.87,71.17,71.83,1669222.0,71.999,10983
2020-10-28,70.71,70.84,67.7,69.01,3165114.0,69.067,17708
2020-10-29,69.28,73.12,69.05,72.19,2922929.0,71.669,15687
2020-10-30,71.35,73.31,70.24,72.43,2303018.0,71.83,14348
2020-11-02,74.42,76.07,73.4,75.85,2896192.0,75.019,16735
2020-11-03,76.63,77.16,74.11,74.57,2337475.0,75.008,12110
2020-11-04,75.08,77.78,73.7,76.12,3452914.0,76.629,17175
2020-11-05,77.38,80.49,76.85,80.13,3758703.0,79.131,17966
2020-11-06,77.89,80.9,77.51,80.07,2589430.0,79.401,14395
2020-11-09,95.0,105.93,95.0,102.24,14271950.0,101.273,71669
2020-11-10,100.0,102.19,95.39,96.66,3933953.0,98.033,22580
2020-11-11,97.2,97.2,91.0,91.71,3590294.0,93.516,22180
2020-11-12,89.5,89.89,85.96,86.67,5908607.0,87.305,32639
2020-11-13,87.7,92.66,86.46,92.19,3123896.0,90.402,16413
2020-11-16,98.33,98.36,93.44,94.74,3183072.0,95.237,16902
2020-11-17,93.31,96.32,91.4,94.23,1847593.0,94.518,9756
2020-11-18,94.55,98.86,93.7,95.64,2500099.0,96.896,13593
2020-11-19,97.34,99.47,96.27,98.75,2068275.0,98.202,10782
2020-11-20,97.84,98.8,95.29,95.29,2426656.0,96.428,12831
2020-11-23,95.67,96.79,94.12,95.48,2420162.0,95.396,13214
2020-11-24,97.59,102.91,97.41,102.76,3128464.0,100.803,16930
2020-11-25,101.65,101.72,99.06,100.4,1648579.0,100.352,7997
2020-11-27,101.33,103.39,100.67,101.22,1004954.0,102.09,5393
2020-11-30,100.99,101.66,97.23,100.5,2272771.0,99.999,12157
2020-12-01,102.02,104.69,100.89,102.36,1992220.0,103.044,11429
2020-12-02,101.75,106.46,100.74,105.13,2197649.0,104.747,13010
2020-12-03,107.12,110.39,105.9,108.49,2351770.0,108.555,13055
2020-12-04,109.5,113.52,108.2,113.5,2248101.0,111.271,12988
2020-12-07,112.65,112.86,109.52,111.32,2266300.0,110.857,12046
2020-12-08,110.5,113.17,110.33,111.31,1519751.0,111.626,9276
2020-12-09,112.88,113.54,109.34,111.16,1475215.0,111.875,8042
2020-12-10,109.09,113.09,109.09,112.88,1215209.0,111.943,7163
2020-12-11,112.67,113.38,109.6,110.98,1478831.0,111.087,8335
2020-12-14,112.41,112.74,107.2,107.54,1970735.0,108.888,12137
2020-12-15,109.68,114.75,108.52,114.1,2360434.0,112.37,12553
2020-12-16,113.5,116.29,112.55,115.23,1579917.0,114.8,9765
2020-12-17,116.8,117.19,114.14,114.81,1359894.0,115.267,7829
2020-12-18,114.55,116.53,113.01,115.93,1366216.0,115.331,7853
2020-12-21,110.71,113.78,108.73,112.54,2850008.0,110.955,14684
2020-12-22,112.35,113.28,110.71,112.61,925917.0,112.205,5456
2020-12-23,113.93,116.93,113.61,115.3,1193120.0,115.844,7029
2020-12-24,114.41,115.45,113.61,114.39,587102.0,114.254,3495
2020-12-28,114.97,117.4,114.12,115.47,1354470.0,115.966,7767
2020-12-29,116.28,116.59,113.84,114.31,855254.0,114.898,5064
2020-12-30,114.18,115.95,112.54,113.4,1499513.0,113.714,8200
2020-12-31,112.77,113.92,110.06,112.83,1426061.0,112.25,9430
2021-01-04,113.16,113.51,106.18,106.9,2568770.0,108.007,15916
2021-01-05,106.28,111.52,106.01,110.19,1205882.0,109.376,7255
2021-01-06,110.65,113.38,109.05,110.85,1793254.0,111.527,8965
2021-01-07,112.42,112.71,108.51,109.75,3102504.0,110.287,13772
2021-01-08,109.9,110.7,108.08,109.03,2069622.0,108.998,12719
2021-01-11,106.62,108.42,104.06,108.03,1665643.0,106.832,9766
2021-01-12,108.49,110.87,106.8,110.0,1454705.0,109.155,8876
2021-01-13,109.55,109.69,106.8,107.9,2140786.0,107.86,12268
2021-01-14,108.6,111.35,108.2,109.0,1444478.0,109.389,8808
2021-01-15,108.43,108.43,105.77,106.23,2130496.0,106.767,11937
2021-01-19,107.54,108.28,105.75,107.17,2163847.0,107.31,13164
2021-01-20,108.27,112.86,107.27,110.07,2722794.0,110.236,14892
2021-01-21,110.14,111.95,108.7,109.16,1447197.0,109.999,8650
2021-01-22,106.73,108.08,104.5,107.45,3719641.0,106.434,19352
2021-01-25,106.59,109.5,104.65,108.06,2310350.0,107.346,14510
2021-01-26,109.25,109.95,105.58,105.91,1317862.0,107.113,8648
