date,open,high,low,close,volume,average,barCount
2020-07-13,23.96,24.43,23.7,23.75,4567541.0,24.101,24164
2020-07-14,23.76,24.53,23.61,24.46,4052196.0,24.172,20643
2020-07-15,24.93,25.19,24.68,25.06,5287234.0,24.966,27375
2020-07-16,24.93,25.48,24.47,25.14,3510489.0,25.108,19053
2020-07-17,25.42,25.99,25.28,25.95,4581801.0,25.777,22740
2020-07-20,25.73,25.95,25.59,25.63,2625012.0,25.736,13753
2020-07-21,25.86,26.03,25.58,25.68,3704352.0,25.745,20529
2020-07-22,25.5,26.19,25.5,26.11,3325227.0,26.005,18616
2020-07-23,25.98,26.73,25.9,26.41,3671916.0,26.394,23076
2020-07-24,26.33,26.43,25.82,26.11,3546837.0,26.052,20907
2020-07-27,26.29,27.64,26.12,27.48,4461044.0,27.204,24880
2020-07-28,27.42,27.48,26.98,27.25,3921554.0,27.266,21225
2020-07-29,27.44,28.44,27.28,28.35,4851519.0,28.186,26380
2020-07-30,27.85,28.44,27.47,28.4,5353469.0,28.111,26119
2020-07-31,28.77,29.03,27.41,27.81,6100150.0,28.005,31053
2020-08-03,27.41,28.18,27.31,28.0,3822159.0,27.862,21164
2020-08-04,27.8,27.95,27.49,27.83,4462058.0,27.694,27152
2020-08-05,28.24,28.5,28.18,28.35,3436517.0,28.347,17633
2020-08-06,28.12,28.46,27.76,28.01,2804674.0,27.984,15041
2020-08-07,27.93,28.36,27.81,28.35,2551721.0,28.138,14194
2020-08-10,28.39,28.85,28.28,28.81,3804249.0,28.631,18465
2020-08-11,29.15,29.61,28.83,28.89,3732249.0,29.244,20872
2020-08-12,29.08,29.33,28.92,29.2,2253837.0,29.167,12758
2020-08-13,29.06,29.15,28.41,28.5,2471819.0,28.67,14164
2020-08-14,28.52,28.59,28.12,28.36,2848588.0,28.313,16461
2020-08-17,28.39,29.24,28.26,28.96,3678615.0,28.848,18141
2020-08-18,29.06,29.34,28.84,28.88,2158406.0,29.045,11765
2020-08-19,28.92,29.42,28.91,28.97,4528688.0,29.154,20741
2020-08-20,28.76,29.41,28.7,29.0,3547755.0,28.962,17242
2020-08-21,29.06,29.18,28.82,28.82,3179993.0,28.967,16077
2020-08-24,29.1,29.22,28.84,29.21,2736157.0,29.034,13426
2020-08-25,29.33,29.34,28.7,29.15,4029892.0,28.95,18638
2020-08-26,29.15,29.55,28.98,29.36,3029850.0,29.226,15505
2020-08-27,29.55,30.2,29.48,30.16,5109614.0,29.903,22772
2020-08-28,30.27,31.16,30.04,30.89,4878572.0,30.741,22993
2020-08-31,30.89,30.9,30.08,30.31,3712075.0,30.392,16724
