date,open,high,low,close,volume,average,barCount
2020-07-13,63.17,64.93,63.17,64.17,1440043.0,64.338,10424
2020-07-14,63.99,65.11,63.89,64.64,1638566.0,64.64,11971
2020-07-15,65.05,65.58,64.04,64.2,1283816.0,64.702,9970
2020-07-16,64.46,65.2,64.14,64.99,1266075.0,64.853,9943
2020-07-17,65.51,66.5,65.06,66.39,1155396.0,65.953,7951
2020-07-20,66.38,66.66,65.73,65.95,1063792.0,66.076,8028
2020-07-21,66.22,66.94,65.77,66.22,1943928.0,66.23,13575
2020-07-22,66.13,68.76,65.84,68.38,1652300.0,67.888,13185
2020-07-23,68.66,68.78,67.83,68.27,1068953.0,68.33,8574
2020-07-24,68.78,68.98,67.49,67.88,918197.0,68.024,7401
2020-07-27,67.98,68.16,66.92,67.51,1225769.0,67.508,10013
2020-07-28,67.4,68.9,67.23,68.37,1140571.0,68.346,9270
2020-07-29,68.37,68.8,67.95,68.73,1063322.0,68.429,8562
2020-07-30,67.88,69.55,67.46,69.0,1286884.0,68.898,10369
2020-07-31,68.52,69.4,68.04,69.04,1665359.0,68.837,11883
2020-08-03,68.75,69.01,68.2,68.76,1582882.0,68.65,11469
2020-08-04,68.79,70.23,68.38,69.93,2409310.0,69.613,17393
2020-08-05,70.25,70.25,69.1,69.79,1717089.0,69.733,10978
2020-08-06,69.79,70.34,69.41,70.1,1529600.0,69.892,11373
2020-08-07,70.37,72.84,70.19,72.34,3729796.0,71.919,24933
2020-08-10,72.33,73.0,71.76,72.45,2129717.0,72.507,14195
2020-08-11,72.36,72.47,70.39,70.52,2238662.0,71.092,14359
2020-08-12,70.75,72.04,70.53,71.48,1352572.0,71.534,9828
2020-08-13,71.09,71.58,70.82,71.28,964511.0,71.243,7316
2020-08-14,71.35,71.51,70.56,70.73,812854.0,70.974,6074
2020-08-17,70.99,71.02,70.12,70.2,1378495.0,70.451,9596
2020-08-18,70.12,70.48,69.74,70.0,1053468.0,70.085,7463
2020-08-19,70.26,70.26,69.43,69.58,1148682.0,69.827,8416
2020-08-20,69.33,69.79,68.82,69.01,1067983.0,69.169,7327
2020-08-21,69.04,69.74,68.65,69.61,974008.0,69.292,6585
2020-08-24,69.71,70.42,69.06,70.41,827193.0,69.907,6078
2020-08-25,70.27,70.3,68.73,68.97,1166541.0,69.18,8545
2020-08-26,68.51,68.69,67.61,68.13,1050665.0,68.127,7855
2020-08-27,68.58,68.91,68.1,68.63,1331458.0,68.511,10551
2020-08-28,68.49,68.69,67.63,68.65,1177747.0,68.327,9239
2020-08-31,67.95,69.69,67.95,69.48,1041995.0,69.263,7891
2020-09-01,69.08,69.08,68.02,68.55,1308718.0,68.541,10230
2020-09-02,68.55,71.74,68.12,71.55,2094523.0,70.556,15332
2020-09-03,71.84,72.43,70.05,70.65,1839150.0,71.078,14291
2020-09-04,71.01,71.23,69.16,70.02,1734192.0,70.081,13542
2020-09-08,69.79,70.01,68.4,69.11,1569099.0,69.144,11512
2020-09-09,69.2,71.35,69.14,70.59,1060896.0,70.719,8510
2020-09-10,69.94,70.68,69.04,69.13,1434726.0,69.73,11074
2020-09-11,69.25,69.35,68.16,68.86,1429653.0,68.802,11507
2020-09-14,68.43,69.9,68.34,69.54,1070388.0,69.459,8629
2020-09-15,69.85,71.15,69.81,70.41,1228159.0,70.44,9032
2020-09-16,70.63,71.34,70.17,70.92,1287085.0,70.95,9900
2020-09-17,69.86,70.06,68.06,68.44,1634990.0,68.817,12860
2020-09-18,68.36,68.57,66.53,66.9,2191323.0,67.56,12156
2020-09-21,66.91,67.08,65.69,66.64,1028055.0,66.345,8146
