date,open,high,low,close,volume,average,barCount
2020-07-13,43.02,43.29,42.22,42.66,17234089.0,42.81,77557
2020-07-14,42.53,44.19,42.26,44.07,16657469.0,43.607,78089
2020-07-15,45.03,45.09,44.21,44.63,13489473.0,44.554,66550
2020-07-16,44.31,44.81,43.79,44.28,11821393.0,44.255,51742
2020-07-17,44.33,44.69,43.39,43.52,13646473.0,43.791,56344
2020-07-20,43.15,43.51,42.47,42.5,15876277.0,42.791,72562
2020-07-21,43.15,45.19,43.11,44.65,24070578.0,44.631,112237
2020-07-22,44.15,44.15,43.37,43.61,16549256.0,43.602,70220
2020-07-23,43.4,43.82,43.02,43.7,14861296.0,43.4,65397
2020-07-24,43.88,44.42,43.19,43.43,12451114.0,43.641,59097
2020-07-27,43.2,44.09,42.97,44.07,13010597.0,43.651,55921
2020-07-28,43.91,44.25,43.46,43.55,14001939.0,43.752,64332
2020-07-29,43.71,44.09,43.34,44.03,10762391.0,43.678,49886
2020-07-30,43.13,43.18,41.82,41.87,24670510.0,42.096,101423
2020-07-31,41.16,42.17,40.91,42.08,23572236.0,41.559,100935
2020-08-03,42.05,42.5,41.47,42.25,17891995.0,42.089,77474
2020-08-04,42.34,43.6,42.24,43.47,14065768.0,43.148,61083
2020-08-05,44.15,44.31,43.53,43.85,13983298.0,43.926,57976
2020-08-06,43.4,43.9,43.25,43.64,11405601.0,43.601,44968
2020-08-07,43.23,43.52,42.81,43.44,14196179.0,43.233,61086
2020-08-10,43.99,44.6,43.59,44.51,20240407.0,44.178,81371
2020-08-11,45.5,46.42,44.73,44.97,21705040.0,45.663,90226
2020-08-12,44.46,44.94,43.63,44.09,18342127.0,44.098,69184
2020-08-13,43.5,43.87,42.92,43.01,13633057.0,43.312,55632
2020-08-14,42.61,43.28,42.41,43.2,10881707.0,43.002,45317
2020-08-17,43.17,43.17,42.47,42.64,11857705.0,42.677,46697
2020-08-18,42.59,43.19,42.29,42.43,10363116.0,42.596,43261
2020-08-19,42.35,42.66,41.86,41.96,11651659.0,42.249,45676
2020-08-20,41.69,41.89,41.3,41.32,11821642.0,41.538,48752
2020-08-21,41.28,41.34,40.71,41.01,17640418.0,41.04,74764
2020-08-24,41.29,42.51,41.09,42.22,13286927.0,41.936,59705
2020-08-25,41.57,42.07,40.7,40.88,23514901.0,41.117,91591
2020-08-26,40.64,40.84,40.0,40.01,22392547.0,40.29,82863
2020-08-27,40.01,40.3,39.3,39.74,24482606.0,39.704,94618
2020-08-28,39.84,40.92,39.76,40.69,21916649.0,40.414,85553
2020-08-31,40.64,40.72,39.89,39.94,19298515.0,40.105,79745
2020-09-01,39.75,39.75,39.04,39.43,18582329.0,39.429,74695
2020-09-02,39.23,39.72,38.95,39.19,20836564.0,39.218,88968
2020-09-03,39.2,40.03,38.88,39.11,22370846.0,39.409,109384
2020-09-04,39.46,39.79,38.65,39.08,20701399.0,39.087,100874
2020-09-08,38.25,38.68,37.35,38.18,31076279.0,37.99,127552
2020-09-09,38.35,38.84,37.92,37.95,20052595.0,38.223,86116
2020-09-10,38.3,38.37,36.9,37.0,27411209.0,37.55,108004
2020-09-11,37.13,37.31,36.49,36.9,22885421.0,36.911,97586
2020-09-14,36.91,37.01,36.49,36.66,19335886.0,36.796,76761
2020-09-15,36.8,37.38,36.21,36.27,18347275.0,36.689,69073
2020-09-16,36.46,38.15,36.27,37.81,23025199.0,37.444,94641
2020-09-17,37.37,37.98,36.97,37.8,17525132.0,37.481,74736
2020-09-18,37.53,37.83,36.7,37.19,24957826.0,37.197,90831
2020-09-21,36.43,36.71,35.68,36.43,28508643.0,36.052,110074
2020-09-22,36.43,36.84,35.47,35.53,22625627.0,35.971,80981
2020-09-23,35.65,35.79,34.35,34.39,25887870.0,34.897,101140
2020-09-24,34.4,34.82,33.76,34.32,22625346.0,34.246,93160
2020-09-25,34.0,34.94,33.88,34.64,20198725.0,34.403,79551
2020-09-28,35.14,35.9,35.09,35.31,19017618.0,35.508,75981
2020-09-29,35.0,35.11,33.99,34.28,16953504.0,34.361,70094
2020-09-30,34.64,34.92,34.13,34.33,16604983.0,34.515,69160
2020-10-01,33.8,34.1,32.94,33.13,30703605.0,33.264,109480
2020-10-02,32.25,33.35,32.21,32.98,26979751.0,32.865,105406
2020-10-05,33.32,33.75,33.17,33.74,18855573.0,33.489,68057
2020-10-06,34.12,34.42,33.31,33.39,22465779.0,33.93,85069
2020-10-07,33.64,33.74,33.21,33.5,19795837.0,33.417,69303
2020-10-08,33.88,35.34,33.76,35.26,29525126.0,34.904,109119
2020-10-09,35.68,35.95,34.65,34.74,25407708.0,35.075,105674
2020-10-12,34.56,34.73,34.23,34.63,15062367.0,34.53,53430
2020-10-13,34.73,34.87,34.1,34.22,16739820.0,34.355,62232
2020-10-14,34.07,34.83,34.03,34.15,13877644.0,34.455,58383
2020-10-15,33.7,34.46,33.26,34.45,18729352.0,33.974,75294
2020-10-16,34.37,34.64,33.87,34.1,19265004.0,34.285,71732
2020-10-19,34.1,34.37,33.39,33.42,19624275.0,33.871,74563
2020-10-20,33.66,33.93,33.33,33.7,20323000.0,33.644,82891
2020-10-21,33.51,33.62,33.14,33.16,21246802.0,33.359,75995
2020-10-22,33.18,34.96,33.02,34.86,27010177.0,34.03,97905
2020-10-23,34.97,35.08,33.86,34.16,23693447.0,34.349,87898
2020-10-26,33.61,33.77,32.95,33.35,25905301.0,33.206,89723
2020-10-27,33.15,33.2,32.7,32.82,22760730.0,32.946,82397
2020-10-28,32.1,32.38,31.52,31.57,33915492.0,31.87,119290
2020-10-29,31.41,33.13,31.11,32.97,32978870.0,32.359,127534
2020-10-30,32.41,33.14,32.01,32.62,31827315.0,32.425,126256
2020-11-02,33.14,34.46,32.57,33.99,32670537.0,33.72,125734
2020-11-03,34.49,34.49,33.13,33.41,31980582.0,33.726,110617
2020-11-04,33.27,34.14,32.53,33.23,30831202.0,33.451,117375
2020-11-05,33.37,33.92,33.14,33.17,26455341.0,33.48,92794
2020-11-06,33.1,33.66,32.62,32.78,27454580.0,33.034,93138
2020-11-09,36.59,38.01,36.06,36.93,62628970.0,36.924,259907
2020-11-10,37.05,37.05,35.98,36.86,41561683.0,36.519,150476
2020-11-11,37.09,37.12,36.19,36.48,24573098.0,36.603,100085
2020-11-12,35.86,36.29,34.87,35.23,24950208.0,35.562,102897
2020-11-13,35.4,36.25,35.38,36.08,21371998.0,35.98,96956
