date,open,high,low,close,volume,average,barCount
2020-07-13,264.91,265.3,255.07,255.5,112725.0,260.141,885
2020-07-14,257.08,266.79,256.69,266.47,178688.0,262.656,1341
2020-07-15,272.22,273.23,264.07,268.16,136403.0,267.657,1008
2020-07-16,267.47,269.12,264.68,267.66,117931.0,266.9,866
2020-07-17,269.1,274.54,269.1,273.1,130639.0,272.74,1019
2020-07-20,274.52,276.72,271.09,276.36,120470.0,274.579,1020
2020-07-21,277.19,279.99,272.33,273.28,103508.0,275.769,928
2020-07-22,272.75,278.8,272.75,277.0,132271.0,276.936,1087
2020-07-23,275.51,277.64,272.72,275.71,148370.0,275.561,1142
2020-07-24,272.0,273.27,267.3,269.98,274247.0,269.806,1605
2020-07-27,270.96,275.32,270.12,273.34,203051.0,273.222,1670
2020-07-28,287.83,287.83,270.53,271.18,274208.0,275.681,2170
2020-07-29,274.31,278.7,272.61,273.85,194533.0,274.531,1568
2020-07-30,271.59,275.71,269.79,274.95,120130.0,273.633,920
2020-07-31,275.73,281.23,274.38,280.75,246393.0,277.937,1938
2020-08-03,283.42,283.42,278.41,280.72,122973.0,280.78,892
2020-08-04,280.9,285.11,279.56,284.68,154530.0,282.913,1106
2020-08-05,286.32,289.1,284.03,288.84,119383.0,287.343,878
2020-08-06,285.18,288.25,284.0,286.73,135259.0,286.084,1098
2020-08-07,284.73,285.02,281.26,283.04,102898.0,282.909,810
2020-08-10,283.1,283.98,277.61,280.41,115765.0,280.832,967
2020-08-11,282.02,284.04,279.67,280.57,97351.0,282.398,775
2020-08-12,281.97,284.63,280.32,284.01,97969.0,283.083,858
2020-08-13,283.22,285.95,282.37,285.61,66288.0,284.679,559
2020-08-14,284.78,286.22,282.9,286.03,76890.0,284.777,677
2020-08-17,288.49,291.3,286.0,286.74,108740.0,287.191,795
2020-08-18,278.61,285.29,278.61,281.96,133089.0,282.451,1048
2020-08-19,282.92,285.25,281.4,283.13,115790.0,282.922,1047
2020-08-20,282.56,282.7,275.29,276.55,93290.0,277.897,783
2020-08-21,277.41,277.41,273.67,275.33,132864.0,275.589,1077
2020-08-24,279.37,284.56,274.36,275.39,131938.0,276.415,1086
2020-08-25,276.22,281.19,274.45,277.86,190512.0,278.248,1198
2020-08-26,278.21,286.17,278.01,284.74,196058.0,283.37,1126
2020-08-27,287.23,287.71,275.53,277.26,156152.0,278.93,1347
2020-08-28,278.3,280.5,277.7,280.16,103049.0,279.319,752
2020-08-31,281.29,287.15,281.05,286.53,107713.0,285.501,890
2020-09-01,287.3,287.48,283.91,287.16,117383.0,285.774,900
2020-09-02,289.16,295.53,286.1,294.36,161174.0,292.055,1162
2020-09-03,291.16,291.16,267.24,269.25,226309.0,275.594,1595
2020-09-04,268.85,271.29,257.31,260.55,191677.0,261.406,1478
2020-09-08,254.55,255.61,247.7,249.26,347647.0,251.274,2698
2020-09-09,260.28,262.56,253.74,255.11,327479.0,256.928,2521
2020-09-10,255.0,257.9,248.72,249.44,196363.0,253.054,1557
2020-09-11,252.58,253.22,249.51,249.96,100864.0,251.188,835
2020-09-14,253.43,255.58,249.02,251.26,160393.0,251.243,1079
2020-09-15,254.18,259.37,253.12,257.46,138259.0,257.791,1051
2020-09-16,260.1,260.2,253.35,254.15,126455.0,256.233,944
2020-09-17,250.73,256.38,249.4,256.18,129940.0,254.52,910
2020-09-18,255.95,260.69,253.82,256.15,189637.0,256.751,1335
2020-09-21,254.11,255.96,247.47,248.73,193939.0,249.826,1659
2020-09-22,251.0,252.86,246.83,252.28,226118.0,250.001,1572
2020-09-23,253.86,254.99,249.4,249.58,124147.0,252.281,1067
2020-09-24,247.31,252.72,247.31,250.67,106270.0,250.331,807
2020-09-25,251.91,258.7,250.04,257.46,109688.0,255.444,899
2020-09-28,261.06,264.03,259.05,260.56,152343.0,261.418,1218
2020-09-29,262.21,263.09,257.63,258.92,91197.0,260.017,744
