date,open,high,low,close,volume,average,barCount,symbol
2020-07-17,187.14,188.4,183.36,187.78,3201562.0,186.083,18743,CRM_HISTORY
2020-07-20,187.9,195.31,187.27,195.09,4339305.0,193.007,25173,CRM_HISTORY
2020-07-21,196.0,196.5,189.48,190.8,3924405.0,191.632,24223,CRM_HISTORY
2020-07-22,190.78,191.87,188.87,191.31,1729666.0,190.455,11445,CRM_HISTORY
2020-07-23,191.48,194.57,187.51,188.54,2293048.0,190.62,15625,CRM_HISTORY
2020-07-24,186.06,188.94,184.37,188.49,2374679.0,187.405,12685,CRM_HISTORY
2020-07-20,175.1,179.64,172.68,178.82,3428726.0,177.221,23073,PYPL_HISTORY
2020-07-21,179.2,179.46,174.32,175.58,3615125.0,176.257,22533,PYPL_HISTORY
2020-07-22,176.44,179.49,175.73,178.42,2862755.0,177.618,19057,PYPL_HISTORY
2020-07-23,178.17,180.75,171.94,173.86,4101393.0,175.706,27720,PYPL_HISTORY
2020-07-24,171.27,173.6,169.08,172.56,3811702.0,171.78,28431,PYPL_HISTORY
2020-07-27,173.92,178.46,172.39,177.98,4403216.0,176.261,28513,PYPL_HISTORY
2020-07-21,79.35,79.35,77.71,77.92,13262680.0,78.47795,4390,GOOG_HISTORY
2020-07-22,77.9,78.5,77.3,78.42,9369500.0,77.95965,3165,GOOG_HISTORY
2020-07-23,78.53,78.59,75.37,75.78,15640960.0,76.70325,5996,GOOG_HISTORY
2020-07-24,74.93,75.88,74.42,75.59,13662700.0,75.2109,4650,GOOG_HISTORY
2020-07-27,75.9,77.05,75.76,76.51,11345680.0,76.43085,3922,GOOG_HISTORY
2020-07-28,76.3,76.32,74.88,75.02,16600160.0,75.72195,6077,GOOG_HISTORY
2020-07-21,79.11,79.35,77.63,77.8,10204500.0,78.46265,3658,GOOGL_HISTORY
2020-07-22,77.79,78.35,77.16,78.24,13318700.0,77.86195,2981,GOOGL_HISTORY
2020-07-23,78.35,78.52,75.43,75.84,11566340.0,76.5994,4774,GOOGL_HISTORY
2020-07-24,74.96,75.77,74.38,75.41,11901900.0,75.0273,4802,GOOGL_HISTORY
2020-07-27,75.66,76.88,75.59,76.47,8687780.0,76.34795,3583,GOOGL_HISTORY
2020-07-28,76.25,76.3,75.03,75.18,10730300.0,75.77355,4552,GOOGL_HISTORY
2020-07-21,196.0,196.5,189.48,190.8,3924405.0,191.632,24223,CRM_HISTORY
2020-07-22,190.78,191.87,188.87,191.31,1729666.0,190.455,11445,CRM_HISTORY
2020-07-23,191.48,194.57,187.51,188.54,2293048.0,190.62,15625,CRM_HISTORY
2020-07-24,186.06,188.94,184.37,188.49,2374679.0,187.405,12685,CRM_HISTORY
2020-07-27,189.9,191.56,188.65,190.96,1788070.0,190.502,10549,CRM_HISTORY
2020-07-28,191.0,192.97,189.05,189.5,2077127.0,191.188,13350,CRM_HISTORY
2020-07-21,456.07,456.99,441.75,444.28,1167139.0,446.537,7644,ADBE_HISTORY
2020-07-22,447.29,449.38,441.76,445.05,715100.0,445.175,4835,ADBE_HISTORY
2020-07-23,445.04,448.81,430.3,431.74,1287663.0,438.901,9469,ADBE_HISTORY
2020-07-24,425.0,435.0,423.44,430.31,940543.0,429.802,5924,ADBE_HISTORY
2020-07-27,431.77,438.36,431.01,437.1,818643.0,435.96,6194,ADBE_HISTORY
2020-07-28,435.5,438.26,431.33,432.26,754645.0,434.574,5648,ADBE_HISTORY
2020-07-22,106.6,108.43,104.13,106.16,87694200.0,106.1851333333333,35418,TSLA_HISTORY
2020-07-23,111.91,112.6,98.72,100.87,179212485.0,104.4680666666667,63706,TSLA_HISTORY
2020-07-24,94.4,97.67,91.1,94.47,151833735.0,94.90826666666668,56819,TSLA_HISTORY
2020-07-27,95.67,103.2,94.2,102.64,119550705.0,98.4004,43792,TSLA_HISTORY
2020-07-28,100.27,104.31,98.29,98.43,132571065.0,101.1234666666667,47077,TSLA_HISTORY
2020-07-29,100.07,102.32,99.13,99.94,78676740.0,100.724,27731,TSLA_HISTORY
2020-07-22,10.37,10.6,10.29,10.44,276250440.0,10.4562,33942,NVDA_HISTORY
2020-07-23,10.47,10.55,10.03,10.13,287487080.0,10.2859,37948,NVDA_HISTORY
2020-07-24,9.88,10.36,9.78,10.19,345422960.0,10.153725,43732,NVDA_HISTORY
2020-07-27,10.23,10.44,10.22,10.42,199864120.0,10.357925,27559,NVDA_HISTORY
2020-07-28,10.37,10.38,10.21,10.22,181264800.0,10.299875,24640,NVDA_HISTORY
2020-07-29,10.39,10.52,10.35,10.47,200886080.0,10.4555,27772,NVDA_HISTORY
2020-07-22,77.9,78.5,77.3,78.42,9369500.0,77.95965,3165,GOOG_HISTORY
2020-07-23,78.53,78.59,75.37,75.78,15640960.0,76.70325,5996,GOOG_HISTORY
2020-07-24,74.93,75.88,74.42,75.59,13662700.0,75.2109,4650,GOOG_HISTORY
