symbol,buy_date,buy_price,sell_date,sell_price,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
CRM_HISTORY,2020-07-17,187.78,2020-07-22,191.31,,,,
PYPL_HISTORY,,,,,2020-07-20,178.82,2020-07-23,173.86
GOOG_HISTORY,,,,,2020-07-21,77.92,2020-07-23,75.78
GOOGL_HISTORY,,,,,2020-07-21,77.8,2020-07-23,75.84
CRM_HISTORY,2020-07-21,190.8,2020-07-23,188.54,,,,
ADBE_HISTORY,,,,,2020-07-21,444.28,2020-07-27,437.1
TSLA_HISTORY,,,,,2020-07-22,106.16,2020-07-27,102.64
NVDA_HISTORY,,,,,2020-07-22,10.44,2020-07-28,10.22
GOOG_HISTORY,,,,,2020-07-22,78.42,2020-07-24,75.59
GOOGL_HISTORY,,,,,2020-07-22,78.24,2020-07-24,75.41
INTC_HISTORY,,,,,2020-07-22,61.05,2020-07-27,49.57
IBM_HISTORY,,,,,2020-07-22,128.67,2020-07-28,124.47
PYPL_HISTORY,,,,,2020-07-22,178.42,2020-07-24,172.56
NOW_HISTORY,,,,,2020-07-22,441.6,2020-07-27,433.81
TSLA_HISTORY,2020-07-24,94.47,2020-07-28,98.43,,,,
AAPL_HISTORY,2020-07-24,92.61,2020-07-28,93.25,,,,
INTC_HISTORY,2020-07-24,50.59,2020-07-28,49.24,,,,
GOOG_HISTORY,,,,,2020-07-24,75.59,2020-07-28,75.02
GOOGL_HISTORY,,,,,2020-07-24,75.41,2020-07-28,75.18
CRM_HISTORY,,,,,2020-07-24,188.49,2020-07-28,189.5
NOW_HISTORY,,,,,2020-07-24,425.19,2020-07-28,435.04
TSLA_HISTORY,2020-07-27,102.64,2020-07-28,98.43,,,,
AAPL_HISTORY,2020-07-27,94.81,2020-07-29,95.04,,,,
MSFT_HISTORY,2020-07-27,203.85,2020-07-30,203.9,,,,
META_HISTORY,2020-07-27,233.5,2020-07-31,253.67,,,,
QCOM_HISTORY,,,,,2020-07-27,92.7,2020-07-31,105.61
TSLA_HISTORY,2020-07-28,98.43,2020-07-29,99.94,,,,
AAPL_HISTORY,,,,,2020-07-30,96.19,2020-08-03,108.94
MSFT_HISTORY,2020-07-30,203.9,2020-08-03,216.54,,,,
NVDA_HISTORY,,,,,2020-07-30,10.61,2020-08-04,11.23
AAPL_HISTORY,,,,,2020-08-03,108.94,2020-08-05,110.06
NVDA_HISTORY,,,,,2020-08-03,11.01,2020-08-05,11.29
MA_HISTORY,2020-08-03,312.59,2020-08-05,328.0,,,,
CRM_HISTORY,,,,,2020-08-03,203.19,2020-08-05,202.64
AAPL_HISTORY,,,,,2020-08-04,109.67,2020-08-05,110.06
NVDA_HISTORY,,,,,2020-08-04,11.23,2020-08-05,11.29
MA_HISTORY,2020-08-04,314.39,2020-08-06,330.14,,,,
CRM_HISTORY,,,,,2020-08-04,201.41,2020-08-06,207.79
AAPL_HISTORY,,,,,2020-08-05,110.06,2020-08-06,113.9
NVDA_HISTORY,,,,,2020-08-05,11.29,2020-08-06,11.34
QCOM_HISTORY,,,,,2020-08-05,111.39,2020-08-11,108.83
AAPL_HISTORY,,,,,2020-08-06,113.9,2020-08-07,111.11
DAL_HISTORY,,,,,2020-08-06,27.08,2020-08-12,29.09
AAPL_HISTORY,,,,,2020-08-07,111.11,2020-08-10,112.73
AMZN_HISTORY,2020-08-13,158.05,2020-08-19,163.02,,,,
TSLA_HISTORY,,,,,2020-08-17,122.38,2020-08-19,125.24
NVDA_HISTORY,,,,,2020-08-17,12.34,2020-08-21,12.68
MRK_HISTORY,,,,,2020-08-17,80.82,2020-08-21,81.03
TSLA_HISTORY,,,,,2020-08-18,125.81,2020-08-20,133.46
GOOGL_HISTORY,,,,,2020-08-19,77.23,2020-08-21,78.78
TSLA_HISTORY,,,,,2020-08-20,133.46,2020-08-21,136.67
GOOGL_HISTORY,,,,,2020-08-20,78.81,2020-08-24,79.26
CRM_HISTORY,,,,,2020-08-20,209.51,2020-08-26,272.32
TSLA_HISTORY,,,,,2020-08-21,136.67,2020-08-24,134.28
GOOG_HISTORY,,,,,2020-08-21,79.02,2020-08-25,80.41
GOOGL_HISTORY,,,,,2020-08-21,78.78,2020-08-24,79.26
PG_HISTORY,2020-08-21,137.44,2020-08-27,138.21,,,,
AAPL_HISTORY,,,,,2020-08-24,125.86,2020-08-26,126.52
MSFT_HISTORY,2020-08-24,213.69,2020-08-28,228.91,,,,
GOOG_HISTORY,,,,,2020-08-24,79.41,2020-08-26,82.62
GOOGL_HISTORY,,,,,2020-08-24,79.26,2020-08-25,80.29
