symbol,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
PYPL_HISTORY,2020-07-20,178.82,2020-07-23,173.86
GOOG_HISTORY,2020-07-21,77.92,2020-07-23,75.78
GOOGL_HISTORY,2020-07-21,77.8,2020-07-23,75.84
ADBE_HISTORY,2020-07-21,444.28,2020-07-27,437.1
TSLA_HISTORY,2020-07-22,106.16,2020-07-27,102.64
NVDA_HISTORY,2020-07-22,10.44,2020-07-28,10.22
GOOG_HISTORY,2020-07-22,78.42,2020-07-24,75.59
GOOGL_HISTORY,2020-07-22,78.24,2020-07-24,75.41
INTC_HISTORY,2020-07-22,61.05,2020-07-27,49.57
IBM_HISTORY,2020-07-22,128.67,2020-07-28,124.47
PYPL_HISTORY,2020-07-22,178.42,2020-07-24,172.56
NOW_HISTORY,2020-07-22,441.6,2020-07-27,433.81
GOOG_HISTORY,2020-07-24,75.59,2020-07-28,75.02
GOOGL_HISTORY,2020-07-24,75.41,2020-07-28,75.18
CRM_HISTORY,2020-07-24,188.49,2020-07-28,189.5
NOW_HISTORY,2020-07-24,425.19,2020-07-28,435.04
QCOM_HISTORY,2020-07-27,92.7,2020-07-31,105.61
AAPL_HISTORY,2020-07-30,96.19,2020-08-03,108.94
NVDA_HISTORY,2020-07-30,10.61,2020-08-04,11.23
AAPL_HISTORY,2020-08-03,108.94,2020-08-05,110.06
NVDA_HISTORY,2020-08-03,11.01,2020-08-05,11.29
CRM_HISTORY,2020-08-03,203.19,2020-08-05,202.64
AAPL_HISTORY,2020-08-04,109.67,2020-08-05,110.06
NVDA_HISTORY,2020-08-04,11.23,2020-08-05,11.29
CRM_HISTORY,2020-08-04,201.41,2020-08-06,207.79
AAPL_HISTORY,2020-08-05,110.06,2020-08-06,113.9
NVDA_HISTORY,2020-08-05,11.29,2020-08-06,11.34
QCOM_HISTORY,2020-08-05,111.39,2020-08-11,108.83
AAPL_HISTORY,2020-08-06,113.9,2020-08-07,111.11
DAL_HISTORY,2020-08-06,27.08,2020-08-12,29.09
AAPL_HISTORY,2020-08-07,111.11,2020-08-10,112.73
TSLA_HISTORY,2020-08-17,122.38,2020-08-19,125.24
NVDA_HISTORY,2020-08-17,12.34,2020-08-21,12.68
MRK_HISTORY,2020-08-17,80.82,2020-08-21,81.03
TSLA_HISTORY,2020-08-18,125.81,2020-08-20,133.46
GOOGL_HISTORY,2020-08-19,77.23,2020-08-21,78.78
TSLA_HISTORY,2020-08-20,133.46,2020-08-21,136.67
GOOGL_HISTORY,2020-08-20,78.81,2020-08-24,79.26
CRM_HISTORY,2020-08-20,209.51,2020-08-26,272.32
TSLA_HISTORY,2020-08-21,136.67,2020-08-24,134.28
GOOG_HISTORY,2020-08-21,79.02,2020-08-25,80.41
GOOGL_HISTORY,2020-08-21,78.78,2020-08-24,79.26
AAPL_HISTORY,2020-08-24,125.86,2020-08-26,126.52
GOOG_HISTORY,2020-08-24,79.41,2020-08-26,82.62
GOOGL_HISTORY,2020-08-24,79.26,2020-08-25,80.29
RCL_HISTORY,2020-08-24,64.43,2020-08-28,70.12
AAPL_HISTORY,2020-08-25,124.83,2020-08-27,125.01
AMD_HISTORY,2020-08-25,86.35,2020-08-27,83.8
ADBE_HISTORY,2020-08-25,484.43,2020-08-27,510.32
NOW_HISTORY,2020-08-25,457.93,2020-08-27,480.55
META_HISTORY,2020-08-26,303.91,2020-08-28,293.66
AMD_HISTORY,2020-08-26,86.02,2020-08-28,85.55
GOOG_HISTORY,2020-08-26,82.62,2020-08-28,82.22
ADBE_HISTORY,2020-08-26,528.49,2020-08-28,516.44
NOW_HISTORY,2020-08-26,487.7,2020-08-28,487.87
LOW_HISTORY,2020-08-26,170.39,2020-09-01,167.59
DE_HISTORY,2020-08-26,211.01,2020-08-28,209.9
META_HISTORY,2020-08-27,293.22,2020-08-31,293.2
ADBE_HISTORY,2020-08-27,510.32,2020-08-28,516.44
DE_HISTORY,2020-08-27,209.83,2020-08-31,210.06
NOW_HISTORY,2020-08-27,480.55,2020-08-31,482.02
ADBE_HISTORY,2020-08-28,516.44,2020-08-31,513.39
AAPL_HISTORY,2020-09-01,134.18,2020-09-08,112.82
CRWD_HISTORY,2020-09-01,143.69,2020-09-03,129.25
NVDA_HISTORY,2020-09-02,14.35,2020-09-08,11.91
CRWD_HISTORY,2020-09-02,142.07,2020-09-04,125.19
QCOM_HISTORY,2020-09-02,123.18,2020-09-04,115.97
QCOM_HISTORY,2020-09-03,116.43,2020-09-08,109.77
NFLX_HISTORY,2020-09-04,516.05,2020-09-09,500.19
QCOM_HISTORY,2020-09-04,115.97,2020-09-09,114.02
META_HISTORY,2020-09-08,271.16,2020-09-14,266.15
NFLX_HISTORY,2020-09-08,507.02,2020-09-10,480.67
GOOG_HISTORY,2020-09-08,76.62,2020-09-11,76.04
GOOGL_HISTORY,2020-09-08,76.18,2020-09-11,75.79
V_HISTORY,2020-09-08,200.12,2020-09-11,200.68
CSCO_HISTORY,2020-09-08,40.0,2020-09-10,39.57
ORCL_HISTORY,2020-09-08,55.32,2020-09-14,59.46
MSFT_HISTORY,2020-09-09,211.29,2020-09-11,204.03
MA_HISTORY,2020-09-09,339.64,2020-09-11,330.15
CSCO_HISTORY,2020-09-09,40.13,2020-09-11,39.88
AVGO_HISTORY,2020-09-09,36.0,2020-09-15,36.69
INTC_HISTORY,2020-09-10,48.96,2020-09-14,49.41
PYPL_HISTORY,2020-09-10,190.09,2020-09-14,186.96
V_HISTORY,2020-09-10,201.54,2020-09-14,204.98
CSCO_HISTORY,2020-09-10,39.57,2020-09-14,40.37
MA_HISTORY,2020-09-10,332.88,2020-09-14,338.6
QCOM_HISTORY,2020-09-10,112.44,2020-09-14,113.46
SBUX_HISTORY,2020-09-10,84.88,2020-09-16,88.38
CMCSA_HISTORY,2020-09-10,44.02,2020-09-16,46.81
INTC_HISTORY,2020-09-11,49.28,2020-09-15,50.0
V_HISTORY,2020-09-11,200.68,2020-09-15,205.39
MA_HISTORY,2020-09-11,330.15,2020-09-15,339.14
WMT_HISTORY,2020-09-17,45.56,2020-09-21,45.69
WMT_HISTORY,2020-09-18,45.1,2020-09-22,46.1
CRM_HISTORY,2020-09-18,242.78,2020-09-24,237.55
CSCO_HISTORY,2020-09-18,39.81,2020-09-24,37.85
HD_HISTORY,2020-09-18,275.19,2020-09-24,265.7
MSFT_HISTORY,2020-09-21,202.54,2020-09-23,200.59
QCOM_HISTORY,2020-09-21,111.92,2020-09-25,114.5
MSFT_HISTORY,2020-09-22,207.42,2020-09-24,203.19
INTC_HISTORY,2020-09-22,49.95,2020-09-28,51.43
LULU_HISTORY,2020-09-22,313.6,2020-09-28,318.73
MSFT_HISTORY,2020-09-25,207.82,2020-09-29,207.26
PYPL_HISTORY,2020-09-25,187.25,2020-10-01,196.94
AMZN_HISTORY,2020-09-28,158.7,2020-10-02,156.25
NVDA_HISTORY,2020-09-28,13.04,2020-10-02,13.06
BA_HISTORY,2020-09-28,166.08,2020-10-02,168.08
UAL_HISTORY,2020-09-28,35.94,2020-10-02,36.01
QCOM_HISTORY,2020-09-28,118.47,2020-09-30,117.68
DAL_HISTORY,2020-09-28,31.34,2020-10-02,31.75
INTC_HISTORY,2020-09-29,51.19,2020-10-05,51.69
QCOM_HISTORY,2020-09-29,117.38,2020-10-01,119.52
CCL_HISTORY,2020-09-29,15.07,2020-10-05,14.96
AAPL_HISTORY,2020-09-30,115.81,2020-10-06,113.16
UBER_HISTORY,2020-10-01,37.14,2020-10-07,36.78
PEP_HISTORY,2020-10-01,140.8,2020-10-07,137.01
AMD_HISTORY,2020-10-08,86.51,2020-10-14,84.21
NFLX_HISTORY,2020-10-08,531.79,2020-10-12,539.81
CRM_HISTORY,2020-10-08,260.22,2020-10-12,267.07
QCOM_HISTORY,2020-10-08,122.34,2020-10-14,129.88
NFLX_HISTORY,2020-10-09,539.44,2020-10-13,554.09
CRM_HISTORY,2020-10-09,265.98,2020-10-13,266.83
WFC_HISTORY,2020-10-09,25.3,2020-10-15,22.95
BMY_HISTORY,2020-10-09,61.82,2020-10-15,60.42
AMZN_HISTORY,2020-10-12,172.15,2020-10-14,168.19
F_HISTORY,2020-10-12,7.67,2020-10-14,7.57
AMZN_HISTORY,2020-10-13,172.18,2020-10-15,166.93
MSFT_HISTORY,2020-10-13,222.86,2020-10-15,219.66
GOOGL_HISTORY,2020-10-13,78.35,2020-10-15,77.77
GOOG_HISTORY,2020-10-13,78.58,2020-10-15,77.96
MU_HISTORY,2020-10-13,51.85,2020-10-15,51.94
F_HISTORY,2020-10-13,7.76,2020-10-15,7.62
MSFT_HISTORY,2020-10-14,220.86,2020-10-16,219.66
META_HISTORY,2020-10-14,271.82,2020-10-20,267.56
GOOGL_HISTORY,2020-10-14,78.17,2020-10-16,78.39
GOOG_HISTORY,2020-10-14,78.4,2020-10-16,78.65
MS_HISTORY,2020-10-14,50.65,2020-10-16,51.85
MU_HISTORY,2020-10-14,51.63,2020-10-16,51.61
AAPL_HISTORY,2020-10-15,120.71,2020-10-20,117.51
AMZN_HISTORY,2020-10-15,166.93,2020-10-16,163.64
CVX_HISTORY,2020-10-20,71.68,2020-10-26,70.94
WMT_HISTORY,2020-10-22,47.85,2020-10-28,46.68
VZ_HISTORY,2020-10-29,56.76,2020-11-04,57.22
SBUX_HISTORY,2020-10-29,88.3,2020-11-02,85.97
SBUX_HISTORY,2020-10-30,86.96,2020-11-03,88.39
NVDA_HISTORY,2020-11-04,13.79,2020-11-05,14.16
NVDA_HISTORY,2020-11-05,14.16,2020-11-06,14.56
CRM_HISTORY,2020-11-05,260.22,2020-11-09,259.28
MSFT_HISTORY,2020-11-06,223.72,2020-11-10,211.01
AMD_HISTORY,2020-11-06,85.88,2020-11-10,77.99
NVDA_HISTORY,2020-11-06,14.56,2020-11-09,13.63
UBER_HISTORY,2020-11-06,44.87,2020-11-12,46.4
CRM_HISTORY,2020-11-06,260.15,2020-11-10,247.66
