date,symbol,open1,open2,open3,open4,open5,end_close
2020-07-17,TSLA_HISTORY,110.6,103.69,102.82,98.6,100.86,100.06
2020-07-17,QQQ_HISTORY,266.86,256.07,261.68,257.97,259.71,259.42
2020-07-17,AAPL_HISTORY,97.28,94.83,99.0,96.56,96.99,96.33
2020-07-17,AMZN_HISTORY,162.55,154.45,154.01,148.56,150.07,148.1
2020-07-17,NFLX_HISTORY,567.97,517.08,518.27,526.74,494.83,492.99
2020-07-17,BA_HISTORY,180.2,177.0,185.54,184.32,178.41,175.66
2020-07-17,MSFT_HISTORY,214.47,206.61,209.77,205.32,204.46,202.88
2020-07-17,MRNA_HISTORY,64.07,74.05,87.66,80.23,83.35,94.85
2020-07-17,META_HISTORY,247.03,236.76,241.5,238.0,241.03,242.03
2020-07-17,NVDA_HISTORY,10.6,10.08,10.42,10.02,10.2,10.2
2020-07-17,AMD_HISTORY,56.68,53.66,54.97,54.75,55.17,55.04
2020-07-17,JPM_HISTORY,98.78,98.53,100.88,98.78,100.0,98.16
2020-07-17,UAL_HISTORY,33.16,30.7,34.07,34.6,34.12,33.92
2020-07-17,BAC_HISTORY,24.37,23.93,24.76,23.75,23.88,23.22
2020-07-17,WFC_HISTORY,25.82,23.94,24.98,24.93,25.49,24.95
2020-07-17,GOOG_HISTORY,77.56,74.52,76.16,75.0,76.08,75.78
2020-07-17,C_HISTORY,53.33,51.29,51.9,51.28,51.22,50.22
2020-07-17,DIS_HISTORY,119.94,115.23,121.63,117.72,118.9,118.65
2020-07-17,GOOGL_HISTORY,77.51,74.64,76.16,75.08,75.74,75.84
2020-07-17,GS_HISTORY,209.0,211.43,224.37,213.51,214.9,211.41
2020-07-17,PYPL_HISTORY,180.61,168.95,172.99,170.08,171.5,173.92
2020-07-17,V_HISTORY,193.61,189.5,195.23,195.33,194.83,195.09
2020-07-17,WMT_HISTORY,43.78,43.09,44.09,44.02,44.46,43.91
2020-07-17,ADBE_HISTORY,469.89,435.74,435.01,428.43,428.12,432.42
2020-07-17,PFE_HISTORY,34.73,35.37,35.99,35.6,35.86,36.25
2020-07-17,NCLH_HISTORY,16.39,15.22,16.33,16.58,15.34,15.27
2020-07-17,CRM_HISTORY,200.0,186.1,191.03,186.42,187.14,187.78
2020-07-17,DAL_HISTORY,27.23,25.64,27.5,27.56,27.33,27.05
2020-07-17,T_HISTORY,22.76,22.43,22.7,22.62,23.01,22.83
2020-07-17,INTC_HISTORY,59.79,58.0,59.03,58.51,59.42,60.0
2020-07-17,RCL_HISTORY,52.09,48.72,51.61,55.41,52.11,53.14
2020-07-17,UNH_HISTORY,292.09,297.81,301.12,305.01,309.09,306.53
2020-07-17,JNJ_HISTORY,143.64,145.32,149.73,148.68,150.0,149.35
2020-07-17,MA_HISTORY,297.86,292.0,302.81,302.88,301.73,304.06
2020-07-17,MS_HISTORY,51.03,50.27,52.49,51.58,52.78,52.41
2020-07-17,MU_HISTORY,51.3,49.1,50.27,49.81,50.31,49.47
2020-07-17,XOM_HISTORY,43.02,42.53,45.03,44.31,44.33,43.52
2020-07-17,CSCO_HISTORY,46.87,45.46,46.57,45.7,45.94,46.75
2020-07-17,HD_HISTORY,251.92,249.0,260.14,256.76,260.03,260.38
2020-07-17,ORCL_HISTORY,57.4,56.67,57.42,56.42,56.08,54.9
2020-07-17,VZ_HISTORY,54.75,54.43,55.61,54.87,56.0,56.3
2020-07-17,CCL_HISTORY,16.48,14.97,16.13,16.44,15.64,15.47
2020-07-17,KO_HISTORY,45.53,44.91,46.3,46.26,46.47,46.82
2020-07-17,F_HISTORY,6.15,6.18,6.54,6.66,6.9,6.8
2020-07-17,CMCSA_HISTORY,40.46,39.9,41.09,41.68,42.26,42.18
2020-07-17,ADI_HISTORY,121.5,116.67,119.3,116.72,116.46,116.75
2020-07-17,CRWD_HISTORY,118.02,107.0,105.58,102.49,100.99,101.43
2020-07-17,WYNN_HISTORY,76.07,79.24,82.01,84.45,84.8,82.76
2020-07-17,UBER_HISTORY,33.21,31.35,32.1,32.05,32.58,32.55
2020-07-17,PEP_HISTORY,136.76,134.67,135.35,133.97,134.41,134.66
2020-07-20,TSLA_HISTORY,103.69,102.82,98.6,100.86,101.31,109.53
2020-07-20,QQQ_HISTORY,256.07,261.68,257.97,259.71,260.12,266.78
2020-07-20,AAPL_HISTORY,94.83,99.0,96.56,96.99,96.42,98.36
2020-07-20,AMZN_HISTORY,154.45,154.01,148.56,150.07,150.01,159.84
2020-07-20,NFLX_HISTORY,517.08,518.27,526.74,494.83,489.75,502.41
2020-07-20,BA_HISTORY,177.0,185.54,184.32,178.41,175.16,174.42
